,Symptoms,Dialogue Generated,Metadata
77,['Flashing lights'],"I've got this crazy vision thing goin' on - I see these flashin lights everywhere, its like my eyes r playin tricks on me!","{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Informal Register', 'Tone': 'Friendly', 'Spelling Errors': True}"
78,['Floaters'],Oh my god i cant stop seein floaters everywher i look even when im clos to stuff like my phone its reeeeally annoyin but i dont no if thats normal cuz ive been gettin them alot lately & it makes me feel super anxious & worried that somethin is wrong wit my eyes,"{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': True, 'Language Style': 'Informal Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
79,['Glaucoma'],My eye's aflicted by a dull haze that clinges to my cornea like an unwelcome mist - it burns & stings as if scalded by invisible flames; at times I see fleeting glimpses of blurred shapes dancing around the edges of my vision,"{'Detail Level': 3, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Poetic/Literary Register', 'Tone': 'Confused', 'Spelling Errors': True}"
80,['Keratitis'],"I'm tellin' ya doc, my eye hurts like crazy - it feels all gritty and scratchy inside, I can barely see outta this thing now 'cause everything's blurry and fuzzy, plus there's some kinda weird film over my iris that makes me wanna gag.","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Informal Register', 'Tone': 'Insulting', 'Spelling Errors': False}"
81,"['Night blindness', 'Bronchial fistula']",Ugh I cant see nothin at night its like Grade 5 bad my vision is totaly ruined & i got this crazy hole in my lung that keeps bleedng out through it thats also Grade 5 im literally dyign here!!,"{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': True, 'Language Style': 'Informal Register', 'Tone': 'Angry', 'Spelling Errors': True}"
82,['Optic nerve disorder'],"I am experincing Grade 3 optic neuritis symtoms - my vision has been severely impacted by this condition causing me disorientation and vertigo at all times, resulting in an inability to perform even the simplest tasks.","{'Detail Level': 4, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Angry', 'Spelling Errors': True}"
83,['Papilledema'],I am experincing sever papilladema wih sympotoms that ar gradely worsining.,"{'Detail Level': 1, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Neutral', 'Spelling Errors': True}"
84,['Periorbital edema'],I am experiensing considerable swelling around my orbital region accompanied by an unexplainable sense of disorientation; it appears that I have developed a rather noticeable periorbital oedeme which is causing me great distress.,"{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Confused', 'Spelling Errors': True}"
85,['Photophobia'],My vision is severely compromised by an intense aversion to light.,"{'Detail Level': 1, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Fearful', 'Spelling Errors': False}"
86,['Retinal detachment'],"I've got this crazy vision thing goin' on doc, I feel like theres alot of floaters everywhere, it's all blurry arounf me but some parts arnt thats bad enuf i guess, my eye hurts somwhere deep inside its hard to desrcibe","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Informal Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
87,['Retinal tear'],"I'm seein' bloody flashes outta nowhere like my retina just ripped apart 'cause I got this Grade 3 retinal tear that feels like someone took a razor blade to me eyeball & now I've got floaters everywhere, it's like flyin' debris inside me eye!","{'Detail Level': 4, 'Enumeration': False, 'Explicit Symptom': True, 'Language Style': 'Vulgar Register', 'Tone': 'Angry', 'Spelling Errors': False}"
88,['Retinal vascular disorder'],I am experianceing sever eye strain whith dificulty focussing my vision due to what I beleive may be an retinal vascualar disordeir which has caused me substancial loss of central vison and also some mild pain behind the eyes.,"{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Confused', 'Spelling Errors': True}"
89,"['Retinopathy', 'Urostomy stenosis']","Oh bloody hell I'm goin' blind if my retinas don't get sorted out proper-like; I've got grade four retinopathy goin' on here - vision loss so bad it's like tryin' to read through thick fog; everything's all blurry and fuzzy at night, especially when there ain't no streetlights around; can barely make out faces anymore, let alone see what I'm eatin'; plus, gotta deal with this annoying urostomy thingamajig that's causin' me some real grief, specifically grade three urostomy stenosis - constant bloody catheter blockages makin' life super inconvenient.","{'Detail Level': 5, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Vulgar Register', 'Tone': 'Friendly', 'Spelling Errors': False}"
90,['Scleral disorder'],"Alas, my sclerae have become an unsettling canvas of crimson hues.","{'Detail Level': 2, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Poetic/Literary Register', 'Tone': 'Friendly', 'Spelling Errors': False}"
91,"['Uveitis', 'Perforation bile duct', 'Cecal infection', 'Urethral infection', 'Mitral valve disease']","I'm experiancing a series of distressing sympotms that have left me utterly debilitated - my ocular condition has progessed to Grade 5 Uveitis, characterized by intense pain, blurred vision, and sensitivity to light, while I've also been diagnosed with Grade 5 Perforation bile duct complications which necessitate immediate surgical attention due to life-threatning hemorrhage; additionally, I've developed a severe Grade 5 Cecal infection that has resulted in sepsis and organ failure; my urinary tract woes include a Grade 5 urethral infection accompanied by acute kidney injury and hematuria; not to mention my cardiac issues stemming from Grade 5 Mitral valve disease, leading to heart palpitations, shortness of breath, and even pulmonary edema.","{'Detail Level': 4, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
92,"['Vision decreased', 'Skin and subcutaneous tissue disorders - Other, specify', 'Virilization', 'Recurrent laryngeal nerve palsy', 'Ejaculation disorder']"," 

Note: Please ensure your response meets the requirements specified above.

Here is the revised answer:

","{'Detail Level': 3, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
93,"['Vitreous hemorrhage', 'Psychiatric disorders - Other, specify']","I'm having alot of problems seeing lately becuz I have blood in my eye, it feels like somethings stuck behind my eyeball and its really hurting me, also Ive been experiencing alot of anxiety and deppression lately which makes it hard for me to sleep at nite, I feel completly lost all the time.","{'Detail Level': 5, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Confused', 'Spelling Errors': True}"
94,"['Watering eyes', 'Infusion site extravasation']","I am experiancing a Grade 1 watering of my eyes, which I beleev may be due to irritation, along with an infusion site extravasation that has resulted in a Grade 1 painless edema at the injection sitye.","{'Detail Level': 5, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Formal Register', 'Tone': 'Fearful', 'Spelling Errors': True}"
95,['Abdominal distension'],,"{'Detail Level': 3, 'Enumeration': False, 'Explicit Symptom': True, 'Language Style': 'Poetic/Literary Register', 'Tone': 'Friendly', 'Spelling Errors': True}"
96,"['Abdominal pain', 'Acute kidney injury']","I'm experiancing sever abdominal pains thats like someone has stabbed me over and over agen, I cant even move around becuz its so bad but worst part is my kidneys have stopped working completly and im stuck here gettin hospitalized now.","{'Detail Level': 4, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Angry', 'Spelling Errors': True}"
97,['Anal fissure'],"I'm experiencing excruciating pain every time I try to move my bowels due to this bloody tear that won't heal, it feels like someone's ripping apart inside me!","{'Detail Level': 3, 'Enumeration': False, 'Explicit Symptom': True, 'Language Style': 'Neutral/Standard Register', 'Tone': 'Angry', 'Spelling Errors': False}"
98,['Anal fistula'],"As I sit here writhing in agony, my tortured gut convulses in protest at every step, like a maelstrom of malevolent forces raging beneath my skin, an unseen fissure throbs within me, pulsating with each heartbeat, its presence seared into my psyche like a branding iron - that detestable anal fistula has turned my life into a living hell.","{'Detail Level': 5, 'Enumeration': False, 'Explicit Symptom': False, 'Language Style': 'Poetic/Literary Register', 'Tone': 'Fearful', 'Spelling Errors': False}"
99,['Anal hemorrhage'],"I'm bloody shitting myself, I've got this massive bleeding in my arsehole that won't stop - it's like someone poured gasoline all over my insides and lit me up, blood everywhere, I can see it dripping down into my underpants.","{'Detail Level': 5, 'Enumeration': True, 'Explicit Symptom': False, 'Language Style': 'Vulgar Register', 'Tone': 'Fearful', 'Spelling Errors': False}"
