Dialogue,True_Symptom,Extracted_Symptom
"""My poor shoes are feeling quite downtrod, with a rash on the toes that wont heal, aching joints that never cease, and a mind that wont sleep, though my heart is somewhat sad.""","['Sad', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Joint pain', 'Unable to have orgasm', 'Insomnia']",
"""I am currently experiencing a multitude of distressing manifestations, which I shall endeavour to describe, and they are as follows: my countenance is beset by a plethora of mild, yet bothersome, comedones, which are small, round, and sometimes accompanied by a whitehead, these lesions are predominantly situated on my facial region, particularly on my forehead, nose, and chin, and they appear to be of a moderate intensity, not excessively inflamed or painful, but still causing me considerable concern and discomfort.""",['Acne'],
"""Methinks my vocal cords, a duo of tender threads, now sing in muted tones, a moderate murmur, beset by an uninvited guest, whose presence I can scarce define, yet knows no gentle bounds.""",['Hoarseness'],
"""Oh man, my shoes are like me right now, I've got wet spots everywhere from losin all contro ov my blady, I've got cracks in my soles like cheilosis on my lips, my arches hurt somtimes like a bad cramp, and I dont wanna think about the mess I make when I'm sick...""","['Urinary incontinence', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Abdominal pain', 'Vomiting']",
"""I am experiencing intermittent bouts of vomiting, the frequency of which is unpredictable, and I am reluctant to disclose the intensity of these episodes, as the mere contemplation of their severity fills me with a sense of trepidation.""",['Vomiting'],
"""My dear shoes, you would feel a gentle whisper of discomfort, a rare and mild ache that doesn't quite hinder my steps, a sensitivity to the warmth of the sun that I'd rather not dwell upon, and an occasional, itchy itch that I'd rather not scratch at.""","['Abdominal pain', 'Sensitivity to sunlight', 'Hives', 'Itching']",
"""I'm experiencing severe heartburn and occasional nosebleeds.""","['Heartburn', 'Nosebleed']",
"""My gut's blowin' out all over the place, can't sleep, and I'm as dry as the Sahara desert.""","['Fecal incontinence', 'Insomnia', 'Decreased sweating']",
"""I'm bloody well reeking like a dumpster on a hot summer day, my armpits are so damn stinky that it's like a toxic waste dump is brewing in there, I'm sweating like a sinner in church and my stench is so overpowering that it's making everyone within a five-foot radius gag, my very severe body odor is like a bad joke, it's a constant reminder that I'm a walking biohazard, I'm so self-conscious about it that I'm starting to feel like a freak, my sweat glands are working overtime and I'm producing more BO than a brewery, it's like my body is a stinky little furnace that's burning up all my dignity and leaving me feeling like a bloody embarrassment, my very severe body odor is literally making my life a living hell!""",['Body odor'],
"""I am experiancing a rather puzzling condition wherein my shoes seem to be afflicted with a urinary frequensy disorder, resultin in them requirin frequent trips to the shoe repair shop, where they are losin a considerable amount of their hair, and in a strange twist, my shoe laces have become swollen and tender to the touch, although I must admit the severity of this symptom is quite negligible.""","['Urinary frequency', 'Hair loss', 'Breast swelling and tenderness']",
"""I'm experiencing some issues with my body, like, I've been vomiting, but I'm not really sure how often, and it's not like it's super severe or anything, and then there's this dryness on my skin, which is kind of moderate, I guess.""","['Vomiting', 'Skin dryness']",
"""Alas, my poor shoes, beset by fitful chills, a rare but merciless affliction, that strikes with unrelenting ferocity, as if the very essence of winter had taken up residence within their leather confines.""",['Chills'],
"""Alas, my pitiful physician, behold my wretched form, where nail ridging doth mock me with its very absence, and bloating, that most insufferable of afflictions, doth beset me with its rare and mild intrusions, a gentle reminder of my own miserable existence.""","['Nail ridging', 'Bloating']",
"""I'm experiencing a lovely combination of symptoms, including a noticeable absence of stretch marks, because let's be real, who needs those, and a memory that's only slightly interfering with my daily activities, because I'm not completely incompetent, with no apparent severity, because I'm not actually losing my mind, but honestly, it's a miracle I can still recall my own name.""","['Stretch marks', 'Memory']",
"""U gotta check me out, I got hives all over my body, like I'm allergic to my own skin or somethin, and my feet and hands are numb and tingley, like I've been sleepin on em or somethin, its pretty bad, I cant even walk or do nothin, its like I'm a cripple, and dont even get me started on my ears, I got this ringin in my ears, but its not that bad, I mean, its not like its hurtin or anythin, its just a lil annoyin, but I guess thats better than havin a headache or somethin, and then theres the sex thing, u know, its like, I cant even get it up, its all sore and stuff, I mean, its like my junk is tryin to tell me somethin, but I dont know what, maybe its just tryin to say'stop wankin and get some help, u idiot'"".","['Hives', 'Numbness & tingling', 'Ringing in ears', 'Pain with sexual intercourse']",
"""I'm experiening somwhat of a fatigue issue, its mainlly interferring with my daily activites, especialy in the morning when I wake up, I feel like I dont have the energi to do alot of things, its not like I'm completly exausted or any thing, I just feel like I'm runing on low batterie, I can still do stuff but it takes alot more efford than normal, its kinda like my body is saying 'hey, slow down a bit'.""",['Fatigue'],
"""Joint pain is a minor nuisance that occasionally hinders my daily routine.""",['Joint pain'],
"""Me shoes got a bad case of the blues, they're feelin' the pain in their cranium, it's a rare but mighty headache that's interferin' with me daily steps, and their lungs are all congested, coughin' up a storm, quite a bit, but they're still standin', even if they're feelin' severely worn out.""","['Headache', 'Coughing']",
"""I am presently experiencing a rather distressing and uncharacteristic condition, wherein I find myself afflicted with a persistent and pungent body odor, which I am hesitant to quantify in terms of severity, and, regrettably, a rather pronounced and almost constant issue with ejaculation, which, I must confess, is occurring with a frequency that is both unexpected and somewhat concerning.""","['Body odor', 'Ejaculation']",
"""i've got this one symptom where my periods are all over the place, i get vaginal bleeding sometimes, it's a real pain, then theres this other thing where i gotta be careful not to pee myself, it's only a little annoying, but it's happenin' pretty rare, and dont even get me started on my sex life, it's just not there, it's like i'm completly fine, but i'm not, i'm just feelin' kinda...meh.""","['Irregular periods/vaginal bleeding', 'Urinary incontinence', 'Decreased libido']",
"""I'm experiencing a range of unsettling symptoms, including a decreased libido that I'm hesitant to discuss, a severe loss of appetite that's interfering with my daily routine to a great extent and is extremely severe, a peculiar but non-disruptive hoarseness, infrequent but unsettling hot flashes that I'm not comfortable discussing, and a dry mouth that's not causing any noticeable issues.""","['Decreased libido', 'Decreased appetite', 'Hoarseness', 'Hot flashes', 'Dry Mouth']",
"""I'm experiencing this general pain that's interfering with almost everything I do, making it extremely difficult for me to perform even the simplest tasks, and I'm too anxious to even think about how often it's happening or how bad it's getting.""",['General pain'],
"""Me shoes got a mild case of the itches, hands and feet are all red and cracky like a cheap pair of boots, and me toes are all numb and tingly like they're sleepin' in a ditch.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Numbness & tingling']",
"""Got a Rash that's drivin' me bloody mad, it's itchy, red, and I'm not tellin' you if it's gone or still here, but it's causin' me a right ol' headache.""",['Rash'],
"""Anxious feelings interfere with daily activities quite a bit, occur occasionally, and are very severe; Vaginal dryness is a sensitive topic and I'd rather not discuss it; Unable to have orgasm is a private matter and I'd prefer not to answer; Ringing in ears is a concern I'd rather not elaborate on; Urinary urgency interferes with daily activities a little bit and occurs almost constantly.""","['Anxious', 'Vaginal dryness', 'Unable to have orgasm', 'Ringing in ears', 'Urinary urgency']",
"""My dear fellow, I seem to be experiencing a rather peculiar condition, whereby my personal hygiene is not quite up to par, despite my best efforts, and, I'm afraid, my sleep patterns are quite disrupted, significantly impacting my daily routine.""","['Body odor', 'Insomnia']",
"""I've got Vaginal discharge, lots of it, and Heartburn, never happens, dont even get me started on that one.""","['Vaginal discharge', 'Heartburn']",
"""I'm gettin' these blasted chills occasionally, like a naggin' cold breeze on a hot summer day, but they're so mild they're practically nonexistent, a joke, a dadburn tease, just a faint shiver that's more irritatin' than hurtful.""",['Chills'],
"""Upon examination, I do not exhibit any noticeable signs of bruising, and my skin appears unblemished, without any discoloration, swelling, or other visual manifestations that would be indicative of bruising.""",['Bruising'],
"""My poor shoe, it's sole is beset with a melancholy that interferes with its daily strides, a constant ache that plagues it almost without cease, a severe affliction that renders its usual gait most irregular and unpredictable, like a woman's menstrual cycles, which, alas, seem to be in a state of utter disregard for the natural order.""","['Sad', 'Irregular periods/vaginal bleeding']",
"""I am presently afflicted with an unrelenting and distressing condition, wherein my digestive system has seen fit to betray me by producing an incessant and copious flow of liquid feces, which, I dare say, is a most inconvenient and unpleasant occurrence, happening with a frequency that is nothing short of alarming, thus rendering my daily existence a veritable ordeal, a trial by fire, if you will.""",['Diarrhea'],
"""I'm experiencing a frustrating condition where my orgasm is consistently delayed, making intimate moments feel like an eternity, and to add insult to injury, I'm constantly plagued by a maddening urinary urgency that interferes with almost every aspect of my daily life, severely disrupting my routine with its almost constant presence.""","['Delayed orgasm', 'Urinary urgency']",
"""My feet are experiencing nausea, as they occasionally feel queasy and moderately uncomfortable, my toes are watery-eyed, somewhat impairing my ability to walk, but not severely, and my heel is irregularly bleeding, yes, I'm having vaginal bleeding, because apparently, my feet have a uterus.""","['Nausea', 'Watery eyes', 'Irregular periods/vaginal bleeding']",Irregular periods/vaginal bleeding
"""I experiance irregular periods/vaginal bleeding, skin dryness, hoarsness, which manifest as No Irregular periods/vaginal bleeding, Mild skin dryness, Not applicable hoarsness.""","['Irregular periods/vaginal bleeding', 'Skin dryness', 'Hoarseness']",
"""During the past week, I have experiened occassional episodes of moderate increated sweating, particularely noticable during periods of stress or physical activites, which has resulted in a slight interfarence with my daily routine. In additon, I have noticed a little bit of interfarence with my daily activites due to urinary incontinence, although the frequency of this sympdom is somewhat dificult to quantify. Furthermore, I have been experiencing severe joint pain, which has become a frequent occurence, often resulting in a significant interfarence with my daily activites.""","['Increased sweating', 'Urinary incontinence', 'Joint pain']",
"""Me shoes, they got quite a bit of hair losin' goin' on, like I've been sheddin' like a mangy beast, and they're hurtin' all over, like I've been walkin' on hot coals, makin' it hard to do much of anythin' most times, but not always, if you know what I mean.""","['Hair loss', 'General pain']",
"""I am experiancing a Rash, which is currently not presant on my body, however I have had a hisotry of them in the pas.""",['Rash'],
"""I do beleev my shoes are experinshing a rather peculier condition, where the urine it produceth has undergone a most unpleasenth change in its usual colur, a metamorphosis of sorts, from a pristine clarity to a most unflattering shade of, well, I dare not say, and this, combined with the palpitations of its cardiac systim, which, I might add, occur with a frequency that can only be describhed as rare, a mere whisper of distress, a faint flutter, if you will, a severity that I, in my infinite wisdom, see fit to keep to myself, a mystery, much like the workings of the human heart, or, indeed, the workings of my own, most persnickety, and fastidious, mind.""","['Change in usual urine color', 'Heart palpitations']",
"""I am experiencing a most distressing condition of extreme aridity within my oral cavity, wherein my mouth is persistently and painfully desiccated, rendering it extremely uncomfortable and severely debilitating.""",['Dry Mouth'],
"""In times of quiet contemplation, I find myself untouched by the gentle stirrings of seminal release, a stillness that persists, a void that remains.""",['Ejaculation'],
"""Shortness of breath is affecting me severely, Diarrhea is occurring frequently, General pain is bothering me occasionally.""","['Shortness of breath', 'Diarrhea', 'General pain']",
"""Man, my feet are killin me, I got pain everywhere, cant even walk without feelin it, its like somethin is crushin my toes all day, and I feel so down on myself, like I dont even wanna get outta bed, its just so frustrating!!""","['General pain', 'Discouraged']",
"""My shoes are feeling Discouraged, they dont wanna get used cuz its A little bit of a pain to walk aroun with them and they are Never in the mood to get worn out but they are Very severe whiners.""",['Discouraged'],
"""My shoes are constantly tired from walking through life, they leak when I'm under pressure, they're severely blistered and cracked from all the walking I do, they ache from being worn out and I have to keep re-tightening the laces just to stay focused.""","['Fatigue', 'Urinary incontinence', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Muscle pain', 'Concentration']",
"""I am currently experiencing moderate breast swelling and tenderness.""",['Breast swelling and tenderness'],
"""I'm feelin' pretty crummy, got some nasty bed sores, my mouth is super dry, and my ears are killin' me with that loud ringing.""","['Bed/pressure sores', 'Dry Mouth', 'Ringing in ears']",
"""Vomiting, Spitting Up, Stomach Pain, Loss of Appetite, Bloating, Food Poisoning, Abdominal Pain, Regurgitation, Gagging, Dry Mouth.""",['Nausea'],
"""I experiance a varity of issues with my feet, incuding: Nail discoloration (none), Foot pain, Swollen feet, Cracked heels, Fungal infections, Blisters, Ingrown toenails, Foot odor.""",['Nail discoloration'],
"""I've been experiencing very severe difficulty swallowing, which makes eating and drinking quite challenging for me.""",['Difficulty Swallowing'],
"""I'm experiencing ringing in ears, mouth/throat sores which are quite a bit interfering with daily activities, and severe anxiety that's also quite a bit interfering with daily activities.""","['Ringing in ears', 'Mouth/throat sores', 'Anxious']",
"""I've been experiensing alot of memory interference with my daily activities, it's very severe, and i've also been gettin heartburn pretty frequently, but it's only mildly painful, i've noticed some visual floaters, but i guess thats just normal, my vision is kinda blurry too, it's really affecting me, but only a little, and i've been noticin some swelling and tenderness in my breasts, but i dont know if thats normal or not.""","['Memory', 'Heartburn', 'Visual floaters', 'Blurred vision', 'Breast swelling and tenderness']",
"""My stomach, once a maelstrom of ravenous desire, now lies dormant, a desolate landscape devoid of appetite's fiery spark, its whispers of hunger reduced to an unsettling silence, a haunting reminder that even the most basic of needs can be wrested from my grasp.""",['Decreased appetite'],
"""My symptoms ar: Breast swelling and tenderness (my breats r all swollen and tender to the touch, hurts whn i touch them), Achieve and maintain erection (cant get or keep an errection, its like my bodi dont wanna cooperate), Hiccups (i get the hiccups ocasionaly, its not that bad, but sometimes they last for a bit, moderate pain).""","['Breast swelling and tenderness', 'Achieve and maintain erection', 'Hiccups']",
"""Joint pain, a symtome of sorts, caracterized by: occationaly painful joints, rarely, aching in my knees, almost never, stiffness in my hips, seldom, swelling in my ankles, hardly ever, limited mobility in my elbows, occassionally, inflammation in my wrists, rarely, tenderness in my shoulders, almost never, and a slight sense of discomfort in my fingers.""",['Joint pain'],
"""I got nail ridging, which meens its like, my nailz ar ridged and stuff, i dont no if thats good or bad, its like: ridged nailz, nailz arnt growin rite, nailz arnt lookin rite, nailz ar hurtin when i touch dem, nailz arnt lookin healthy, nailz arnt strong.""",['Nail ridging'],
"""I'm feelin' pretty weird, got discoloration on my nails, there's a lot of discharge goin' on down there, I'm kinda tired but can still do stuff, and honestly, I don't wanna talk about my vision right now.""","['Nail discoloration', 'Vaginal discharge', 'Fatigue', 'Blurred vision']",
"""My sleep-deprived soul is a wreck, my restlesness is a heavy burden, it interfiers with my daily activites alot, its a very severe afflication.""",['Insomnia'],
"""My shoes are severely anxious, frequently disrupting my daily activities, but somehow managing to get a good night's sleep without any issues, despite being in a state of overall darkness.""","['Anxious', 'Insomnia', 'Skin darkening']",
"""I've ben experinencin some pretty weird sympthoms lately, like my concetration is gettin a little bit messed up with daily actvities, it's not too bad but its moderatly annoyin, and somethin thats really gettin my goat is this ringing in my ears, its like someone's puttin a siren in my head, its so sevre it's keepin me up at nite, but you know what's almost as bad? these hot flashes, they come occassionally, but its like my body's decidin to just go haywire and give me a nice warm hug out of nowhere, its pretty mild but its just so annoyin!""","['Concentration', 'Ringing in ears', 'Hot flashes']",
"""Hard Stools, Straining during Bowel Movements, Infrequent Bowel Movements, Abdominal Discomfort, Loss of Appetite, Feeling of Incomplete Defecation.""",['Constipation'],
"""Persistent Earsong, Unrelenting Tinnitus, Tortured Silence, Ache of the Auditory Canal, Fractured Quiet, Dissonant Resonance, Sonic Assault, Echoes of Agony.""",['Ringing in ears'],
"""Pruritus, Luminescent Hallucinations, Giddiness.""","['Itching', 'Flashing lights', 'Dizziness']",
"""I've been feelin kinda crappy with this urination thingy, it hurts when i go pee, and i've got some mild acne goin on, just a few tiny spots.""","['Painful urination', 'Acne']",
"""I am presently experiencing a distressing condition characterised by an unrelenting and very severe itching sensation, which is manifesting as an intense and persistent discomfort, particularly in the vaginal region, albeit accompanied by a mild and somewhat manageable vaginal dryness, which, although bothersome, is not currently causing undue distress.""","['Itching', 'Vaginal dryness']",
"""I've got these weird mouth sores that don't really bother me and this heart thingy that's, uh, totally fine, I guess.""","['Mouth/throat sores', 'Heart palpitations']",
"""Apparently, my mouth/throat sores are moderately annoying, which is just great, considering they're interfering with my daily activities a little bit.""",['Mouth/throat sores'],
"""Me shoes got a bit of a funky look goin' on, got some discolored nails, all yellowy and stuff.""",['Nail discoloration'],
"""Oh, cruel fate, I fear my mortal coil is beset by the trifling troubles of acne's faintest whisper, a gentle reminder of my skin's fragile state, a minor annoyance that troubles me not at all, while my joints, those stalwart steeds that bear my weary frame, protest with a faint, insistent murmur, a gentle ache that, though it troubles me a little, does not, in truth, impede my daily rounds, and, as for my sweat, that most vital of bodily functions, I dare not even speak its name, lest it prove, like a will-o'-the-wisp, a fleeting mirage, a chimera that vanishes at my very thought.""","['Acne', 'Decreased sweating', 'Joint pain']",
"""Me boyo's got a wee problem, but I'm not exactly sure how often it's happenin'!""",['Ejaculation'],
"""I am experiening Irregular periods/vaginal bleeding, caracterised by: Vaginal bleeding, Menstrual cramps, Mood Swings, Fatigue, Bloating, Abdominal Pain, Anxiety, Sleep Disturbances, Weight Gain, Changes in libido.""",['Irregular periods/vaginal bleeding'],
"""Blimey, I'm bloody well plagued by these flaming lights, they're always there, a constant, maddening presence, like a swarm of fireflies in me eyeballs, no, not just in me eyeballs, but everywhere, a blasted, infernal display that refuses to bloody well cease, so, yeah, it's a definite 'yes' to the presence of these confounded lights, if you catch me drift.""",['Flashing lights'],
"""I seem to be experiencing certain discomforts, specifically the appearance of ulcers or sores on various parts of my body, which I believe may be attributed to prolonged periods of inactivity.""",['Bed/pressure sores'],
"""My shoes, I'm afraid, are experiencing an unusual condition, characterised by an excessive accumulation of air, occasional numbness, and a persistent, fiery sensation.""","['Bloating', 'Numbness & tingling', 'Hot flashes']",
"""Methinks I got sum kinda sickness, me heid hurts sumtimes wen I try to do ennythin, like I cant even think rite, me sex drive is non existent, dont no whats goin on with me boddy...""","['Headache', 'Decreased libido']",
"""I dont realy no if its somethin but i havent been yellin or talkin alot so my voice is just kinda... normal, i guess.""",['Hoarseness'],confidence
"""My feet feel weighed down, as if the very souls of my shoes have been pierced by the thorns of Discouragement, which sprouts Occasionally, its Moderate tendrils ensnaring my daily activities, a little bit, like a malignant vine, draining my vitality, its bitter fruit the taste of frustration.""",['Discouraged'],
"""I'm really scared, doc, I've got these nasty bed sores all over, I'm vomiting a lot, but it's not too bad, and sometimes I get these weird visions, but the worst part is when I have these random... ah, you know, wet dreams, it's just really unsettling.""","['Bed/pressure sores', 'Vomiting', 'Flashing lights', 'Ejaculation']",
"""Missed menstrual period, wheezing with mild symptoms, severe headaches that sometimes interfere with daily activities.""","['Missed expected menstrual period', 'Wheezing', 'Headache']",
"""Me eyes be seein' them dadburn specks everywhere, like I'm goin' blind or somethin'!""",['Visual floaters'],
"""Behold, my wheezing shoe, a non-entity in suffering, while my discouraged shoe, the wretched companion, trudges along with great reluctance.""","['Wheezing', 'Discouraged']",
"""U got these red welts all over me body, they itsch and its hurtin, they come and go, they aint nothin but a plesur, they got no name, they got no cure, they just a pain in me butt.""",['Hives'],
"""My skin is completly fine, no darkening or somethin, no paleness, no discoloration, no uneven tone, no dark spots, no skin changes, no melanin produktion problum, no nothin!""",['Skin darkening'],
"""M' body's a wreck, hurts everywhere, hurts some more in me muscles, don't know how much longer I can take it.""","['General pain', 'Muscle pain']",
"""I'm experiening a slight dificulty with achieving and maintaning an erection, but I'm managing quite well, and I've also been noticing some dryness and cracking at the corners of my mouth, although I'm not quite sure of the severity of the latter.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Achieve and maintain erection']",
"""My voice is really raspy, I have a very severe hoarsness, it hurts to talk alot, my vocal cords are inflamed, I have a sore throat, difficulty swallowing, voice strain, vocal cord spasms, and a raspy voice.""",['Hoarseness'],
