Dialogue_Generated,symptom,description,meta,language_style,Tone,Detail_level,Enumeration,Explicit_symptom,Spelling_errors
" ""I cant stop coughin, it's drivin me nuts!""",Coughing,Interference (with daily activities),Not at all,Informal Register,Angry,4,False,False,True
" ""I have been coughing for a few days now. The cough is dry and I don't produce any phlegm. I have a slight fever and my chest feels heavy. I have a little bit of difficulty breathing and I feel a little bit fatigued.""",Coughing,Interference (with daily activities),A little bit,Neutral/Standard Register,Friendly,3,True,False,False
" ""I been coughin all night and it's gettin worse and worse, I can't sleep no more, I feel like I'm gonna die or somethin, I can't breathe proper like, I been tryin to stop coughin but it won't stop, I been drinkin water but it ain't helpin, I been tryin to take a bath but I'm too tired, I been tryin to eat but I ain't got no appetite, I been tryin to go to the bathroom but I ain't got no energy, I been tryin to talk to my family but I ain't got no voice, I been tryin to watch TV but I ain't got no eyes, I been tryin to play with my kids but I ain't got no arms, I been tryin to go outside but I ain't got no legs, I been tryin to live but I ain't got no life, I been tryin to be a good person but I ain't got no good heart, I been tryin to be a good father but I ain't got no good family, I been tryin to be a good son but I ain't got no good mom, I been tryin to be a good brother but I ain't got no good sister, I been tryin to be a good friend but I ain't got no good friends, I been tryin to be a good neighbor but I ain't got no good neighborhood, I",Coughing,Interference (with daily activities),Somewhat,Vulgar Register,Confused,5,False,False,True
" ""Oh, my lungs are on fire, and I'm coughing up blood like a fountain, you bloody idiot!""",Coughing,Interference (with daily activities),Quite a bit,Poetic/Literary Register,Insulting,3,False,False,True
" ""I've been coughin' like a bloody donkey for the past few days, mate.""",Coughing,Interference (with daily activities),Very much,Vulgar Register,Friendly,1,False,False,True
" ""My cough is so violent that it feels as if my lungs are being ripped apart, and I can feel the blood dripping down my throat.""",Coughing,Severity,Very severe,Poetic/Literary Register,Fearful,5,False,False,False
" ""I've been feeling so weak and tired lately, and I've been coughing up blood and phlegm, and I can't seem to catch my breath properly, and I've been having these really bad headaches, and I feel like I'm going to pass out all the time, and I can't even have sex anymore, and I don't know what's wrong with me.""",Coughing,Severity,Not sexually active,Poetic/Literary Register,Confused,5,False,True,True
" ""Ah fook, I've been coughin' me head off fer days now, an' it's gettin' worse an' worse. It's like I've got a fire in me chest an' I can't stop coughin'. An' it's not just coughin', I've also been feelin' a bit short of breath an' me coughin' is gettin' worse when I'm doin' any physical activity. I've tried drinkin' plenty fluids an' takin' over-the-counter cough medicine, but it's not helpin' much.""",Coughing,Severity,Prefer not to answer,Vulgar Register,Friendly,3,False,False,True
" ""I have a cough that won't go away. It's been there for months now and it's getting worse and worse. It's a dry cough and it's really annoying. I wake up every morning with a cough and I can't stop coughing throughout the day. It's really frustrating and I'm getting tired of it. I've tried everything to get rid of it but nothing seems to work. I've tried drinking plenty of water, avoiding dust and smoke, and taking cough medicine but it doesn't help. I'm really worried about my health now. I hope I can get rid of this cough soon.""",Coughing,Severity,None,Neutral/Standard Register,Angry,2,True,False,True
" ""I got this cough and it's been goin on fer weeks now, an it's gettin worse an worse. I got this weird sensation in my chest, like somethin's crawlin around in there. An sometimes I cough so hard I feel like I'm gonna pass out. An sometimes I cough so hard I feel like I'm gonna puke. An sometimes I cough so hard I feel like I'm gonna die. An sometimes I cough so hard I feel like I'm gonna lose my mind. An sometimes I cough so hard I feel like I'm gonna lose my voice. An sometimes I cough so hard I feel like I'm gonna lose my breath. An sometimes I cough so hard I feel like I'm gonna lose my life. An sometimes I cough so hard I feel like I'm gonna lose my mind. An sometimes I cough so hard I feel like I'm gonna lose my voice. An sometimes I cough so hard I feel like I'm gonna lose my breath. An sometimes I cough so hard I feel like I'm gonna lose my life. An sometimes I cough so hard I feel like I'm gonna lose my mind. An sometimes I cough so hard I feel like I'm gonna lose my voice. An sometimes I cough so hard I feel like I'm gonna lose my breath. An sometimes I cough so hard I feel like I'm gonna lose my life. An sometimes I cough so hard I feel like I'm gonna lose my mind. An sometimes I",Coughing,Severity,Not applicable,Vulgar Register,Confused,5,True,False,True
" ""I am coughing up blood like a bloody fountain.""",Coughing,Severity,Moderate,Poetic/Literary Register,Insulting,1,False,False,True
" ""I have been coughing for the past three days and it is getting worse. The coughing fits last for about 10 minutes and I have to sit down and rest. I have been drinking a lot of water and taking over the counter cough medicine but it does not seem to be helping.""",Coughing,Severity,Mild,Formal Register,Angry,5,False,False,False
" ""I've been coughing up blood for the past three days and I'm really worried about it.""",Coughing,Severity,Severe,Neutral/Standard Register,Angry,3,False,False,False
" ""I cant breathe properly, its like im drowning in air, but i cant get enough of it, its like im suffocating, but i cant stop breathing, its like im dying, but i cant stop living.""",Shortness of breath,Interference (with daily activities),Not at all,Informal Register,Insulting,5,False,False,True
" ""My lungs are filled with sand, making it difficult to breathe.""",Shortness of breath,Interference (with daily activities),A little bit,Poetic/Literary Register,Confused,1,False,False,False
" ""My lungs are on fire, and I can't catch my breath. Every time I try to inhale, it feels like I'm sucking in a mouthful of flames. I'm so scared that I'll never be able to breathe properly again.""",Shortness of breath,Interference (with daily activities),Somewhat,Poetic/Literary Register,Fearful,5,False,False,False
" ""I cant breathe properly anymore.""",Shortness of breath,Interference (with daily activities),Quite a bit,Neutral/Standard Register,Angry,1,False,False,True
" ""I can't breathe, it's like my lungs are on fire, and I can't put out the flames, no matter how hard I try, I'm drowning in my own air, and I can't save myself from this suffocating hell.""",Shortness of breath,Interference (with daily activities),Very much,Poetic/Literary Register,Angry,3,False,False,True
" ""I cant brethe properley, its like im suffocating, i cant catch my brethe properly, its like im drowning, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like",Shortness of breath,Severity,Very severe,Vulgar Register,Confused,2,False,False,True
" ""I can't believe I'm still sick. I've been coughing and sneezing for weeks now and I'm so tired of it. But the worst part is when I get short of breath. It's like I can't catch my breath and I start to panic. I'm so angry that I'm still sick.""",Shortness of breath,Severity,Not sexually active,Informal Register,Angry,3,False,True,False
" ""I'm so scared that I might not be able to breathe properly.""",Shortness of breath,Severity,Prefer not to answer,Neutral/Standard Register,Fearful,2,False,False,False
" ""I can't breathe properly.""",Shortness of breath,Severity,None,Informal Register,Neutral,1,False,False,False
" ""I have been experiencing shortness of breath for the past few days. It started out as a slight discomfort when I was climbing the stairs, but now I get out of breath even when I am walking a short distance. I feel like I cannot catch my breath and I start to cough. I have been trying to ignore it, but it is getting worse and worse.""",Shortness of breath,Severity,Not applicable,Formal Register,Neutral,5,False,False,False
" ""I been having this problem for a while now, but it's getting worse and worse. I been having trouble breathing and it's getting harder and harder to catch my breath. I been feeling like I'm gonna pass out and I been having chest pains too. I been trying to ignore it but it's getting harder and harder to ignore it. I been trying to take deep breaths but it's not working. I been trying to relax but I can't relax. I been trying to sleep but I can't sleep. I been trying to eat but I can't eat. I been trying to drink but I can't drink. I been trying to talk but I can't talk. I been trying to walk but I can't walk. I been trying to run but I can't run. I been trying to swim but I can't swim. I been trying to bike but I can't bike. I been trying to drive but I can't drive. I been trying to fly but I can't fly. I been trying to climb but I can't climb. I been trying to jump but I can't jump. I been trying to dance but I can't dance. I been trying to sing but I can't sing. I been trying to play but I can't play. I been trying to write but I can't write. I been trying to draw but I can't draw. I been trying to paint but I can't paint. I been trying to read but I",Shortness of breath,Severity,Moderate,Informal Register,Confused,5,False,False,True
" ""I'm f**king dying, you f**king c**k sucker, I can't breathe, you f**king piece of s**t!""",Shortness of breath,Severity,Mild,Vulgar Register,Insulting,1,False,False,False
" ""I cant brethe properley, its like im suffocating, i cant catch my brethe properly, its like im drowning, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like im gonna die, i cant stop coughin, its like",Shortness of breath,Severity,Severe,Vulgar Register,Confused,2,False,False,True
" ""I have been experiencing a very severe wheezing for the past three days now. It started out as a slight wheezing but now it has become very severe and I can barely breathe. I have tried to take some over the counter medications but it has not helped at all. I am very worried about my health and I hope that I can get some help as soon as possible.""",Wheezing,Severity,Very severe,Formal Register,Fearful,4,False,False,False
" ""I have been experiencing a persistent wheezing sound while breathing, which is becoming increasingly difficult. It is as if I am trying to breathe through a straw.""",Wheezing,Severity,Not sexually active,Formal Register,Angry,3,False,False,False
" ""I've been having trouble breathing lately.""",Wheezing,Severity,Prefer not to answer,Informal Register,Friendly,1,False,False,False
" ""I've been having this weird wheezing sound when I breathe in and out. It's like I'm breathing through a straw.""",Wheezing,Severity,None,Informal Register,Neutral,5,False,False,False
" ""I'm coughin like a motherfucker and wheezin like a broken harmonica, ya hear me?""",Wheezing,Severity,Not applicable,Vulgar Register,Insulting,4,False,True,True
" ""My lungs are on fire, and I can't breathe, you hear me? I'm choking on my own phlegm, and I'm drowning in my own fluids. I'm gasping for air, but it's like trying to breathe through a straw. I'm suffocating, and I'm dying, and you're just standing there watching me!""",Wheezing,Severity,Moderate,Poetic/Literary Register,Angry,5,False,False,False
" ""I been having some wheezing lately.""",Wheezing,Severity,Mild,Neutral/Standard Register,Confused,1,False,False,True
" ""I'm f**king dying, you f**king c**k-sucking b**ch! I can't breathe, I'm wheezing like a f**king donkey!""",Wheezing,Severity,Severe,Vulgar Register,Insulting,3,False,False,False
" ""I cant sleep at night because my heart is racing and beating so fast, it feels like its going to explode.""",Heart palpitations,Frequency,Almost constantly,Neutral/Standard Register,Fearful,4,False,False,True
" ""I have been having these heart palpitations for a while now but I thought it was just stress but now I think it might be something else.""",Heart palpitations,Frequency,Not sexually active,Neutral/Standard Register,Confused,3,False,False,True
" ""I'm tellin ya, doc, I got these goddamn heart palpitations that are drivin me up the fookin wall. It's like my heart is tryin to bust outta my chest and I'm all like 'what the fook is goin on with me?' It's like this all the time, doc. I can't even sleep for fook's sake. I'm so sick of this shite I could puke. I swear to god, doc, if you can't fix this I'm gonna go find a real doctor who can.""",Heart palpitations,Frequency,Prefer not to answer,Vulgar Register,Insulting,4,False,False,True
" ""My heart is a wild beast that roams my chest, pounding against my ribs with a ferocity that makes me want to scream.""",Heart palpitations,Frequency,Occasionally,Poetic/Literary Register,Angry,5,False,True,False
" ""My heart is a fluttering bird that beats against my chest walls, as if trying to escape from its cage.""",Heart palpitations,Frequency,Frequently,Poetic/Literary Register,Neutral,2,False,False,True
" ""I'm telling you, I feel like my heart is going to explode or something. It's like, boom boom boom, all the time. I can't even sleep at night because of it. I'm telling you, I'm going to die from this.""",Heart palpitations,Frequency,Never,Informal Register,Insulting,3,False,False,False
" ""I'm surprised that my heart is still beating, considering how much it's pounding.""",Heart palpitations,Frequency,Rarely,Formal Register,Insulting,2,False,False,False
" ""My heart is racing like a wild mustang, and I can feel every beat in my chest.""",Heart palpitations,Severity,Very severe,Poetic/Literary Register,Friendly,2,False,False,False
" ""I have been having heart palpitations lately.""",Heart palpitations,Severity,Not sexually active,Neutral/Standard Register,Neutral,1,False,False,True
" ""I'm tellin' ya, doc, I got these goddamn palpitations. They're killin' me, man. I can't sleep, I can't eat, I can't even think straight. I'm tellin' ya, I'm gonna die from these goddamn palpitations.""",Heart palpitations,Severity,Prefer not to answer,Vulgar Register,Angry,3,False,False,False
" ""I'm tellin ya, doc, I got these goddam heart palpitations. It's like my heart is tryin to bust outta my chest. I swear to god, I'm gonna have a friggin heart attack or somethin. I'm so sick of these goddam palpitations, I could puke. I hope you can do somethin about this, or I'm gonna come after you with a baseball bat.""",Heart palpitations,Severity,None,Vulgar Register,Insulting,4,False,False,True
" ""I have been experiencing palpitations in my heart for the past few days. It is very irregular and feels like my heart is skipping beats. It is very frightening and I am worried that something is wrong with my heart.""",Heart palpitations,Severity,Not applicable,Formal Register,Neutral,4,True,False,True
" ""I have been experiencing heart palpitations. My heart beats very fast and irregularly, and it feels like it is going to burst out of my chest.""",Heart palpitations,Severity,Moderate,Neutral/Standard Register,Neutral,3,True,False,True
" ""My heart is racing like a wild mustang, and I can feel every beat in my chest.""",Heart palpitations,Severity,Mild,Poetic/Literary Register,Angry,1,False,True,True
" ""I got palpitations in my heart, it feels like its gonna explode, and i feel dizzy and weak all the time, and my skin looks pale, and i get tired easily, and i feel cold all the time, and i get headaches a lot.""",Heart palpitations,Severity,Severe,Informal Register,Confused,2,True,False,True
" ""My limbs are puffed up like a pair of fat sausages, and I feel like I'm walking on stilts.""",Swelling (arms or legs),Interference (with daily activities),Not at all,Poetic/Literary Register,Insulting,3,False,False,True
" ""I got up this mornin and my legs was all swollen like sausages. I cant walk no more than a few feet without gettin tired.""",Swelling (arms or legs),Interference (with daily activities),A little bit,Vulgar Register,Angry,2,False,False,True
" ""My arms are so swollen that I can't even wear my favorite shirts anymore. It's like wearing a straight jacket. I can't even sleep well because of the pressure on my skin. It's so uncomfortable that I can't even bear to look at my own arms.""",Swelling (arms or legs),Interference (with daily activities),Somewhat,Poetic/Literary Register,Friendly,4,True,False,False
" ""I can't sleep at night because my arms are so swollen.""",Swelling (arms or legs),Interference (with daily activities),Quite a bit,Vulgar Register,Fearful,1,False,False,False
" ""My arms are so swollen that I can barely move them, it's as if I'm wearing lead weights around my limbs.""",Swelling (arms or legs),Interference (with daily activities),Very much,Poetic/Literary Register,Neutral,5,False,True,True
" ""I'm bloated and my arms are puffed up like balloons.""",Swelling (arms or legs),Frequency,Almost constantly,Vulgar Register,Angry,1,False,False,True
" ""I'm so sick of this swelling in my arms and legs. It's been going on for months now and I'm so tired of it. I'm so angry that I can't even have sex with my wife anymore.""",Swelling (arms or legs),Frequency,Not sexually active,Neutral/Standard Register,Angry,1,False,True,True
" ""My limbs are puffed up like balloons, and I fear I may burst at any moment.""",Swelling (arms or legs),Frequency,Prefer not to answer,Poetic/Literary Register,Fearful,1,False,False,False
" ""I been noticing that my arms and legs been swelling up a bit lately.""",Swelling (arms or legs),Frequency,Occasionally,Informal Register,Confused,2,False,False,True
" ""I have been experiencing swelling in my arms and legs for a while now, but I thought it was just due to my poor diet and lack of exercise. However, I recently noticed that my hands and feet are also swollen, and I am worried that it might be a sign of something more serious.""",Swelling (arms or legs),Frequency,Frequently,Formal Register,Confused,1,True,True,True
" ""I got a bit swollen in my arms and legs, but I ain't never felt like that before.""",Swelling (arms or legs),Frequency,Never,Vulgar Register,Confused,1,False,True,True
" ""I've been noticing that my arms and legs have been swelling up a bit more often lately. It's not all the time, but when it does happen, it's quite noticeable. I'm not sure what's causing it, but I hope it's not something serious.""",Swelling (arms or legs),Frequency,Rarely,Neutral/Standard Register,Friendly,4,False,False,True
" ""Oh my god, me arms and legs are so bloomin' swollen, I can't even move 'em, I'm proper scared, I think I might be dyin'!""",Swelling (arms or legs),Severity,Very severe,Vulgar Register,Fearful,3,False,False,True
" ""I'm so sick of these swollen arms and legs, it's like I'm a bloody balloon or something.""",Swelling (arms or legs),Severity,Not sexually active,Informal Register,Insulting,3,False,False,False
" ""My limbs are puffed up like a pair of balloons.""",Swelling (arms or legs),Severity,Prefer not to answer,Poetic/Literary Register,Neutral,3,False,False,True
" ""I have been experiencing swelling in my arms and legs for a while now, but I thought it was just because I was gaining weight. However, I have been trying to lose weight, but the swelling persists.""",Swelling (arms or legs),Severity,None,Formal Register,Confused,3,False,False,True
" ""My arms are puffed up like balloons.""",Swelling (arms or legs),Severity,Not applicable,Poetic/Literary Register,Friendly,1,False,False,False
" ""I have been noticing that my arms and legs are swelling up and it is causing me a lot of discomfort.""",Swelling (arms or legs),Severity,Moderate,Formal Register,Fearful,1,False,False,True
" ""I've got swelling in me arms and legs, ya bloody idiot, and it's driving me mental!""",Swelling (arms or legs),Severity,Mild,Vulgar Register,Angry,1,False,False,True
" ""I'm so sick of this swelling in my arms and legs. It's been going on for weeks now.""",Swelling (arms or legs),Severity,Severe,Neutral/Standard Register,Angry,1,False,True,False
" ""I have experienced Severe Acne on my Face, Neck, Chest, Back, Shoulders, Arms and Hands.""",Acne,Severity,Very severe,Formal Register,Neutral,1,True,False,True
" ""I have been having these little red bumps on my face for a while now, but they seem to be getting worse. They are very tender to the touch and seem to be getting bigger and more red. I have tried to pop them, but it just makes it worse. I have been getting them on my forehead, cheeks, and chin. I have no idea what is causing them.""",Acne,Severity,Not sexually active,Neutral/Standard Register,Neutral,4,False,False,True
" ""I've got this bloody acne all over my face, it's like a bloody plague or something. I've tried every bloody treatment under the sun and nothing works. I'm so sick of looking in the mirror and seeing this bloody mess staring back at me. I just want to rip my face off and be done with it.""",Acne,Severity,Prefer not to answer,Vulgar Register,Insulting,3,False,False,False
" ""I've got this bloody acne all over my face, it's so annoying, I want to punch the doctor in the face.""",Acne,Severity,None,Vulgar Register,Insulting,2,False,False,False
" ""My skin is all blotchy and red, with big bumps all over it. It's so annoying, I just want to hide my face from the world.""",Acne,Severity,Not applicable,Poetic/Literary Register,Friendly,1,True,False,True
" ""My skin is a battlefield, with acne scars as the gruesome reminders of the war that rages on within me.""",Acne,Severity,Moderate,Poetic/Literary Register,Fearful,2,False,False,False
" ""I have acne on my face, back, and chest. It's red, inflamed, and painful.""",Acne,Severity,Mild,Informal Register,Friendly,2,True,False,False
" ""I've got this bloody acne all over me face, it's so severe I can't even look at myself in the mirror, it's like a bloody volcano erupting on me skin, I'm so angry and frustrated with this acne, it's ruining me whole life, I can't even go out with me mates anymore, I'm so depressed about this acne, I just want it to go away, I'm so sick of it, I just want to rip it off me face, I'm so angry and frustrated with this acne, it's so severe, I just want it to go away, I'm so sick of it, I just want to rip it off me face.""",Acne,Severity,Severe,Vulgar Register,Insulting,2,False,False,True
" ""I have bed sores on my back and bottom, and I think I have pressure sores on my hips and shoulders too.""",Bed/pressure sores,Presence/Absence,Not sexually active,Neutral/Standard Register,Confused,5,False,False,False
" ""I've got these bed sores on my bum, it's really sore and itchy.""",Bed/pressure sores,Presence/Absence,Prefer not to answer,Informal Register,Friendly,2,False,False,True
" ""I'm really worried about my bed sores getting worse, I can feel them getting deeper and smell really bad.""",Bed/pressure sores,Presence/Absence,Not applicable,Informal Register,Fearful,4,False,True,False
" ""My body feels like a bruised peach, with pressure sores that are as red as a rose, and as tender as a baby's bottom.""",Bed/pressure sores,Presence/Absence,No,Poetic/Literary Register,Confused,5,False,False,False
" ""My skin is rotting away, a festering wound, a putrid sore, a maggot infested abyss, a festering cesspit, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering pit of corruption, a stinking pit of decay, a putrid pool of rot, a festering",Bed/pressure sores,Presence/Absence,Yes,Poetic/Literary Register,Insulting,4,False,False,False
" ""I'm losing my hair like crazy, you know? It's all falling out, man. I mean, I'm not surprised, I've been stressed out of my mind lately.""",Hair loss,Amount,Not at all,Informal Register,Insulting,2,False,False,False
" ""My hair is falling out in clumps, like autumn leaves from a tree, a little bit.""",Hair loss,Amount,A little bit,Poetic/Literary Register,Neutral,5,False,False,True
" ""My hair falls out in clumps, like autumn leaves from a tree.""",Hair loss,Amount,Somewhat,Poetic/Literary Register,Neutral,2,False,False,False
" ""I'm losin' all me hair, ya hear me? It's fallin' out like a bunch of dead flies!""",Hair loss,Amount,Quite a bit,Vulgar Register,Insulting,1,False,False,True
" ""I have been experiencing an excessive amount of hair loss over the past few months.""",Hair loss,Amount,Very much,Formal Register,Friendly,2,False,False,False
" ""I have developed a rash on my hands and feet, which is causing cracking, peeling, redness and pain.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Very severe,Formal Register,Neutral,2,True,False,True
" ""I got this Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain). It's really annoying, I can't even have sex.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Not sexually active,Vulgar Register,Friendly,2,True,True,False
" ""I've got Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain). It's so annoying, I can't even wear my favorite rings anymore. And it itches like hell, I just want to scratch it all the time. It's so painful, I can't even hold a pen or a spoon. I'm so sick of it, I just want to get rid of it already.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Prefer not to answer,Informal Register,Insulting,3,True,True,False
" ""I have hand foot syndrome, it's a rash on my hands and feet that causes cracking, peeling, redness or pain.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,None,Informal Register,Friendly,1,False,True,True
" ""I got this rash on my hands and feet and it's so itchy and sore, it's like my skin is on fire!""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Not applicable,Informal Register,Confused,4,False,False,True
" ""My hands and feet are on fire, as if I had dipped them in a vat of boiling oil. The skin on my palms and soles is peeling off in layers, leaving behind tender, red flesh that stings when I touch it. Even the softest fabrics feel like sandpaper against my skin.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Moderate,Poetic/Literary Register,Friendly,4,False,True,False
" ""My hands and feet are all red and itchy, like I have been stung by a thousand bees.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Mild,Poetic/Literary Register,Neutral,2,False,False,True
" ""I have developed a rash on my hands and feet that is causing cracking and peeling, and it is very painful to the touch.""","Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)",Severity,Severe,Formal Register,Fearful,4,False,False,False
" ""I have developed itchy red welts all over my body, which are very painful and itchy. They appear and disappear randomly, and are very annoying. I have tried to reduce my stress levels, but it does not seem to help. I am very frustrated with this condition, and I want it to go away.""",Hives,Presence/Absence,Not sexually active,Formal Register,Angry,3,True,False,True
" ""I have been having these red splotchy things on my skin for a few days now. They are really itchy and I have no idea what is causing them.""",Hives,Presence/Absence,Prefer not to answer,Neutral/Standard Register,Confused,3,False,True,False
" ""I got these goddamn welts all over my body and I don't know why the fuck I got them. I ain't done nothing different than usual. I just woke up this morning and I had 'em. They're itchy as hell and I just wanna scratch the fuck outta 'em but I know I shouldn't.""",Hives,Presence/Absence,Not applicable,Vulgar Register,Angry,3,False,False,True
" ""My skin is a canvas of angry red and white blotches, a masterpiece of misery, a work of art crafted by the sadistic hand of fate.""",Hives,Presence/Absence,No,Poetic/Literary Register,Insulting,2,False,False,False
" ""I'm so sick of these itchy bumps popping up all over my body. I'm so tired of scratching myself raw.""",Hives,Presence/Absence,Yes,Informal Register,Angry,4,False,False,False
" ""My skin is on fire, and I can't stop scratching myself. I've tried everything to stop this maddening itching, but nothing works. I'm so frustrated and angry that I can't even sleep at night.""",Itching,Severity,Very severe,Poetic/Literary Register,Angry,4,False,False,False
" ""I've been scratching my balls so much that I've got bloody scratches all over the place, and I can't even get an erection, you bloody useless doctor!""",Itching,Severity,Not sexually active,Informal Register,Insulting,5,False,False,False
" ""I got this bloody itch everywhere, it's driving me mad, I can't even sleep at night, it's so bloody annoying.""",Itching,Severity,Prefer not to answer,Vulgar Register,Angry,1,False,False,True
" ""I've got this bloody itching all over me body, it's driving me mad, I can't take it no more, I'm going out of me mind, I'm going to lose me marbles, I'm going to go bloody crazy, I'm going to have a bloody heart attack, I'm going to die, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive, I'm going to be eaten alive, I'm going to be cremated alive, I'm going to be buried alive,",Itching,Severity,None,Vulgar Register,Fearful,3,False,False,False
" ""I got this real bad itching all over my body. It's driving me crazy. I can't sleep, I can't eat, I can't even think straight. I'm so scared I'm gonna scratch myself to death.""",Itching,Severity,Not applicable,Vulgar Register,Fearful,1,True,False,True
" ""My skin is crawling with an itching sensation that makes me want to scratch all the time. It's so annoying and frustrating.""",Itching,Severity,Moderate,Poetic/Literary Register,Angry,1,True,False,True
" ""I got this itchy rash on my back and arms.""",Itching,Severity,Mild,Vulgar Register,Neutral,2,False,False,False
" ""I have been experiencing an intense itching sensation on my skin for the past three days now. It started on my left elbow and has gradually spread to my back, chest, and even my face. The itching is so severe that I cannot sleep at night and I keep scratching my skin which only makes the itching worse. I am very worried that I might scratch my skin so hard that I might end up with an infection.""",Itching,Severity,Severe,Formal Register,Fearful,5,False,False,False
" ""My nails have turned a yellowish hue, and they are separating from the nail bed, it's as if they are trying to escape from my fingers.""",Nail discoloration,Presence/Absence,Not sexually active,Poetic/Literary Register,Friendly,2,False,False,True
" ""My nails have turned a most peculiar shade of blue, as if the very veins beneath my skin had burst forth with a deep and abiding sorrow.""",Nail discoloration,Presence/Absence,Prefer not to answer,Poetic/Literary Register,Confused,5,False,False,True
" ""My nails have turned a yellowish hue, as if they were stained with tea.""",Nail discoloration,Presence/Absence,Not applicable,Poetic/Literary Register,Neutral,3,False,False,False
" ""Me nails is all yellow like a bloody banana.""",Nail discoloration,Presence/Absence,No,Vulgar Register,Neutral,1,False,False,False
" ""I have noticed that my fingernails have become discoloured, and I am worried that it might be a sign of something serious.""",Nail discoloration,Presence/Absence,Yes,Formal Register,Fearful,4,False,True,True
" ""My nails are falling off one by one, and I can feel them crumbling beneath my skin, leaving behind a trail of blood and pain, as if my very soul is being ripped from my body, and I am left with nothing but a hollow shell, devoid of all hope and life.""",Nail loss,Presence/Absence,Not sexually active,Poetic/Literary Register,Fearful,5,False,False,False
" ""My nails are falling off one by one, like autumn leaves from the tree.""",Nail loss,Presence/Absence,Prefer not to answer,Poetic/Literary Register,Friendly,1,False,False,True
" ""My nails are falling off, one by one, like autumn leaves from a withered tree, and I fear I shall be left with nothing but a pair of bare, bloodied fingers.""",Nail loss,Presence/Absence,Not applicable,Poetic/Literary Register,Fearful,3,False,False,False
