Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""I've got this darkening of the skin, and it's all blotchy and stuff. I've also got this rash all over my body, and it's really itchy. I can't sleep at night because of it. And I've got this radiation skin reaction, and it's really sore and stuff.""","['Skin darkening', 'Rash', 'Insomnia', 'Radiation skin reaction']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Severity']","['Prefer not to answer', 'Yes', 'None', 'None']",Vulgar Register,Neutral,5,False,False,True
" ""My gut is in a constant state of flux, with diarrhoea that leaves me feeling drained and weak. My breathing is laboured, with wheezing that leaves me feeling short of breath. To top it all off, I have lost control of my bowels, leaving me feeling helpless and ashamed.""","['Diarrhea', 'Wheezing', 'Fecal incontinence']","['Frequency', 'Severity', 'Interference (with daily activities)']","['Never', 'None', 'Somewhat']",Poetic/Literary Register,Neutral,3,False,False,True
" ""I feel so discouraged and I can't concentrate on anything. I'm always worried that I won't be able to do anything right and I'm scared that I'll fail. I'm always tired and I can't sleep well. I'm always worried that I won't be able to do anything right and I'm scared that I'll fail.""","['Discouraged', 'Concentration']","['Interference (with daily activities)', 'Interference (with daily activities)']","['Somewhat', 'Quite a bit']",Informal Register,Fearful,2,True,False,True
" ""I have been experiencing a lack of interest in sexual activities, and my eyesight has become blurred. It is quite annoying.""","['Decreased libido', 'Blurred vision']","['Severity', 'Interference (with daily activities)']","['Not applicable', 'Quite a bit']",Formal Register,Insulting,1,False,False,True
" ""Sensitivity to sunlight, Wheezing.""","['Sensitivity to sunlight', 'Wheezing']","['Presence/Absence', 'Severity']","['Not applicable', 'Severe']",Formal Register,Neutral,1,True,False,True
" ""My pee is a dark shade of yellow and I've been losing nails like crazy, what's going on with my body? I'm not having sex, so it can't be from that, can it?""","['Change in usual urine color', 'Nail loss']","['Presence/Absence', 'Presence/Absence']","['Not sexually active', 'No']",Poetic/Literary Register,Angry,2,False,False,True
" ""My nails are falling off, my vision is all blurry, and I just can't eat, but I'm not sure if it's because I'm not hungry or if I'm just too confused.""","['Nail loss', 'Blurred vision', 'Decreased appetite']","['Presence/Absence', 'Severity', 'Interference (with daily activities)']","['Yes', 'Prefer not to answer', 'Not at all']",Poetic/Literary Register,Confused,2,False,False,False
" ""I have been experiencing flashing lights in my eyes for the past few days. At first, I thought it was just a result of stress, but now I am worried that it might be something more serious. I have also noticed that I have been constipated for the past week, and I am very concerned about this. I have tried to eat more fiber and drink more water, but nothing seems to work. I am also very sensitive to sunlight now, and I have to wear sunglasses even on cloudy days. I am very scared that this might be a sign of something serious, and I would like to see a doctor as soon as possible.""","['Flashing lights', 'Constipation', 'Sensitivity to sunlight']","['Presence/Absence', 'Severity', 'Presence/Absence']","['Not applicable', 'Mild', 'Not applicable']",Formal Register,Fearful,5,False,False,True
" ""I am shocked by the sudden change in the color of my urine, which has become a dark brown color. It is quite disturbing to see such a change in my bodily functions. I have also noticed that my vagina has become extremely dry, which makes it very uncomfortable when I try to urinate. Furthermore, I have noticed that my voice has become hoarse and rough, which makes it difficult for me to speak. I am very concerned about these changes and hope that they are not indicative of a more serious condition.""","['Change in usual urine color', 'Vaginal dryness', 'Voice quality changes']","['Presence/Absence', 'Severity', 'Presence/Absence']","['No', 'Very severe', 'No']",Formal Register,Insulting,5,False,False,False
" ""I feel discouraged and I don't have the energy to do anything. I have no appetite and I have been vomiting a lot.""","['Discouraged', 'Decreased appetite']","['Interference (with daily activities)', 'Severity']","['Somewhat', 'Not applicable']",Neutral/Standard Register,Fearful,4,False,True,True
" ""I have been experiencing some chills lately, and my breasts have been a bit swollen and tender. I also have had some diarrhea. I hope this is not a sign of anything serious.""","['Chills', 'Breast swelling and tenderness', 'Diarrhea']","['Frequency', 'Severity', 'Frequency']","['Not sexually active', 'None', 'Rarely']",Formal Register,Friendly,5,False,False,True
" ""I got hot flashes, wheezing, decreased appetite, and I feel like I'm gonna die.""","['Hot flashes', 'Wheezing', 'Decreased appetite']","['Frequency', 'Severity', 'Severity']","['Prefer not to answer', 'None', 'Very severe']",Vulgar Register,Fearful,1,True,False,True
" ""i cant remeber the names of my friends and family members and i cant get an erection anymore. i feel like im losin control of my mind.""","['Decreased libido', 'Memory']","['Severity', 'Interference (with daily activities)']","['Moderate', 'Somewhat']",Informal Register,Fearful,4,False,False,True
" ""I've been having a really rough time lately. I've been having a lot of trouble sleeping and I've been getting really tired all the time. I've also been having a lot of trouble concentrating and I've been getting really frustrated with myself. I've been having a lot of trouble with my memory and I've been getting really worried about myself. I've been having a lot of trouble with my mood and I've been getting really upset with myself. I've been having a lot of trouble with my appetite and I've been getting really worried about myself. I've been having a lot of trouble with my energy and I've been getting really worried about myself. I've been having a lot of trouble with my motivation and I've been getting really worried about myself. I've been having a lot of trouble with my self-esteem and I've been getting really worried about myself. I've been having a lot of trouble with my self-confidence and I've been getting really worried about myself. I've been having a lot of trouble with my self-worth and I've been getting really worried about myself. I've been having a lot of trouble with my self-image and I've been getting really worried about myself. I've been having a lot of trouble with my self-respect and I've been getting really worried about myself. I've been having a lot of trouble with my self-acceptance and I've been getting really worried about myself. I've been having a lot of trouble","['Taste Changes', 'Insomnia', 'Bruising', 'Radiation skin reaction']","['Severity', 'Interference (with daily activities)', 'Presence/Absence', 'Severity']","['Very severe', 'A little bit', 'Prefer not to answer', 'Prefer not to answer']",Informal Register,Fearful,2,False,True,False
" ""I got this stomach cramps and nausea, and I can't even think straight, I'm so sick of this shit.""","['Nausea', 'Concentration']","['Severity', 'Interference (with daily activities)']","['Not sexually active', 'Quite a bit']",Vulgar Register,Angry,3,False,False,False
" ""I got heartburn all the time and my breasts are swollen and tender like I'm pregnant or somethin'.""","['Discouraged', 'Heartburn', 'Breast swelling and tenderness']","['Severity', 'Severity', 'Severity']","['Not applicable', 'Very severe', 'Very severe']",Vulgar Register,Fearful,1,False,False,False
" ""I got these sores in my mouth and throat and I started sweating like crazy and my tits started getting all swollen and sore. I don't know what the fuck is going on with my body, I feel like I'm gonna explode or something. I'm so confused and scared, I don't know what to do.""","['Ejaculation', 'Mouth/throat sores', 'Increased sweating', 'Breast swelling and tenderness']","['Frequency', 'Interference (with daily activities)', 'Severity', 'Severity']","['Occasionally', 'Somewhat', 'Severe', 'Very severe']",Vulgar Register,Confused,4,False,False,True
" ""I been missin' me period fer weeks now, an' I been feelin' all gassy an' stuff. An' when I go pee, it's all cloudy an' stinky like somethin's wrong wit' me body.""","['Missed expected menstrual period', 'Gas', 'Change in usual urine color']","['Presence/Absence', 'Presence/Absence', 'Presence/Absence']","['Yes', 'Not sexually active', 'Not sexually active']",Vulgar Register,Friendly,2,False,False,True
" ""I have been experiencing joint pain in my knees and elbows for the past two weeks. The pain is quite severe and interferes with my daily activities quite a bit. I have also noticed that my vision has become blurred over the past week. My eyes feel tired and itchy and I have difficulty reading and watching TV.""","['Joint pain', 'Blurred vision']","['Severity', 'Interference (with daily activities)']","['Prefer not to answer', 'Quite a bit']",Formal Register,Friendly,5,False,False,False
" ""My memory is a blank page, I can't recall a thing, not even my own name, and my penis is as limp as a wet noodle.""","['Memory', 'Achieve and maintain erection']","['Severity', 'Severity']","['None', 'Moderate']",Poetic/Literary Register,Confused,2,False,False,True
" ""I got this dryness in my vagina, and it's so annoying. I mean, I'm a woman, right? I gotta have moisture down there. But no, it's like sandpaper down there. And it's so sensitive. I mean, I can't even wear a pair of jeans without getting a rash. And I'm so tired all the time. I mean, I used to be able to go out dancing all night, but now I'm in bed by 10 PM. And I'm so sensitive to the sun now. I mean, I used to be able to lay out in the sun all day, but now I get burned to a crisp in like 20 minutes. And I'm so confused. I mean, I used to know what was going on with my body, but now I feel like I'm living in a foreign country. I mean, I used to know what was going on with my body, but now I feel like I'm living in a foreign country.""","['Vaginal dryness', 'Sensitivity to sunlight', 'Insomnia']","['Severity', 'Presence/Absence', 'Interference (with daily activities)']","['Prefer not to answer', 'No', 'Not at all']",Vulgar Register,Confused,4,False,False,False
" ""My nails are falling off, I gotta pee every 10 minutes, my heart is racing like a motherfucker, and I can taste the metal in my mouth. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I'm so sick and tired of being sick and tired. I","['Nail loss', 'Urinary frequency', 'Heart palpitations', 'Taste Changes']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Severity']","['Yes', 'Quite a bit', 'Moderate', 'Very severe']",Vulgar Register,Insulting,4,True,False,False
" ""My eyes are weeping tears of fire, my skin is dripping with a cold sweat, and my mouth is cracking like the earth beneath my feet.""","['Watery eyes', 'Increased sweating', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Severity', 'Severity', 'Severity']","['Severe', 'Not applicable', 'Severe']",Poetic/Literary Register,Fearful,1,False,False,False
" ""I have been experiencing hot flashes, general pain, and acne for the past month. The hot flashes occur at random times and last for a few seconds to a few minutes. They are accompanied by profuse sweating and a slight increase in heart rate. The general pain is present throughout my body and is characterized by a dull, aching sensation. It is exacerbated by movement and stress. The acne is present on my face, chest, and back. It is characterized by red, inflamed bumps that are painful to the touch. The hot flashes, general pain, and acne interfere with my daily activities very much. I am unable to perform physical activities, sleep well, or concentrate on my work.""","['Hot flashes', 'General pain', 'Acne']","['Frequency', 'Interference (with daily activities)', 'Severity']","['Never', 'Very much', 'Mild']",Formal Register,Fearful,3,False,False,False
" ""My vision is blurred and I see double. I have these red stretch marks on my belly and chest. I have had hiccups for the past week. I have a dry cough and a sore throat. I have a fever and chills. I have a headache and my joints are aching. I have a metallic taste in my mouth. I have a burning sensation when I urinate.""","['Blurred vision', 'Stretch marks', 'Hiccups', 'Radiation skin reaction']","['Interference (with daily activities)', 'Presence/Absence', 'Frequency', 'Severity']","['A little bit', 'Prefer not to answer', 'Almost constantly', 'Not sexually active']",Informal Register,Friendly,3,True,True,False
" ""I'm always constipated and can't even get off properly, you know what I mean? It's like I'm stuck in neutral all the time.""","['Delayed orgasm', 'Constipation']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'Mild']",Vulgar Register,Insulting,3,False,False,True
" ""Oh, my guts are on fire, and my arse is a bloody waterfall! I'm so anxious I can't even sit still, and my heart is racing like a bloody rabbit!""","['Diarrhea', 'Anxious']","['Frequency', 'Severity']","['Not sexually active', 'Not sexually active']",Poetic/Literary Register,Angry,5,False,False,True
" ""My vagina is as dry as the Sahara desert, and I can't breathe without wheezing like an asthmatic donkey.""","['Vaginal dryness', 'Shortness of breath']","['Severity', 'Interference (with daily activities)']","['Prefer not to answer', 'Very much']",Poetic/Literary Register,Insulting,2,False,False,False
" ""I'm so frustrated, I've been having trouble getting off during sex lately. I've tried to relax and not think about it, but it just doesn't happen. I've also noticed that I've been getting these weird bumps all over my body. They're itchy and look like little white balls. I've tried scratching them, but it just makes them worse. I've also been having chills and feeling really cold all the time. I'm so tired of feeling this way, I just want to be normal again.""","['Delayed orgasm', 'Nail loss', 'Hives', 'Chills']","['Presence/Absence', 'Presence/Absence', 'Presence/Absence', 'Frequency']","['Not sexually active', 'No', 'Not sexually active', 'Rarely']",Informal Register,Angry,5,False,False,False
" ""I'm so depressed all the time and I get these nosebleeds for no reason. And I haven't been in the mood for sex at all lately. And I've been getting these cracks in the corners of my mouth that won't go away.""","['Sad', 'Nosebleed', 'Decreased libido', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Frequency', 'Frequency', 'Severity', 'Severity']","['Not sexually active', 'Prefer not to answer', 'Severe', 'Not sexually active']",Neutral/Standard Register,Angry,1,False,False,True
" ""My joints are aflame with pain, as if a thousand tiny knives were stabbing me in the knees, elbows, and hips, and my abdomen is a cauldron of fiery anguish, as if a thousand tiny hammers were pounding away at my gut, and my heartburn is a burning inferno, as if a thousand tiny flames were licking away at my esophagus.""","['Joint pain', 'Abdominal pain', 'Heartburn']","['Severity', 'Frequency', 'Frequency']","['None', 'Prefer not to answer', 'Rarely']",Poetic/Literary Register,Confused,4,False,False,False
" ""My skin is covered in a map of red lines and my belly is a canvas of silver streaks.""","['Stretch marks', 'Rash', 'Ejaculation']","['Presence/Absence', 'Presence/Absence', 'Frequency']","['Yes', 'No', 'Not sexually active']",Poetic/Literary Register,Confused,1,False,False,False
" ""I have been experiencing acne on my face for the past month now. It started with a few small bumps on my forehead but now it has spread to my cheeks and chin as well. It is very painful to the touch and it leaves dark red marks on my skin. I have also been experiencing painful urination for the past few days. It is very uncomfortable and I am worried that it might be a sign of a more serious condition.""","['Acne', 'Painful urination']","['Severity', 'Severity']","['Moderate', 'Prefer not to answer']",Formal Register,Fearful,5,False,True,False
" ""I have been experiencing chills and general pain for the past week now. The pain is severe and occurs occasionally. I also have difficulty swallowing and have diarrhea. I am worried that I may have a serious illness.""","['Chills', 'General pain', 'Difficulty Swallowing', 'Diarrhea']","['Severity', 'Frequency', 'Severity', 'Frequency']","['Mild', 'Occasionally', 'Severe', 'Not sexually active']",Formal Register,Fearful,4,False,False,True
" ""I cant swallow properly and I have the runs all the time, I'm scared I might die from this.""","['Difficulty Swallowing', 'Diarrhea']","['Severity', 'Frequency']","['None', 'Occasionally']",Informal Register,Fearful,5,False,True,True
" ""My mouth is a battlefield, with sores that erupt and bleed, as if the very walls of my mouth were being torn asunder. My skin is bruised and purple, as if I had been beaten with a bat. I feel an overwhelming urge to urinate, as if my bladder were a bursting dam. My tongue is a foreign object in my mouth, a strange and alien thing that betrays my senses and confounds my taste buds.""","['Mouth/throat sores', 'Bruising', 'Urinary urgency', 'Taste Changes']","['Interference (with daily activities)', 'Presence/Absence', 'Frequency', 'Severity']","['Not at all', 'Yes', 'Frequently', 'Very severe']",Poetic/Literary Register,Confused,3,False,False,False
" ""Cold hands and feet, chills, itchy skin, mouth cracks, and a general feeling of being cold all the time.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Itching', 'Chills']","['Severity', 'Severity', 'Severity']","['Prefer not to answer', 'Mild', 'Very severe']",Poetic/Literary Register,Insulting,1,True,False,False
