Dialogue,True_Symptom,Extracted_Symptom
" ""My mouth is a battlefield, a bloody mess of sores and pain, a place where I'd rather not put my tongue.""",Mouth/throat sores,"cheilosis/cheilitis, Mouth/throat sores, Pain"
" ""I got these bloody sores in my mouth and throat, and they are so painful, I can't even eat or drink properly. They keep bleeding and it's so annoying. I hope I don't get infected or something, because I've heard these sores can be really serious. I'm so sick of being sick, I just want to feel better already.""",Mouth/throat sores,"Mouth/throat sores, Painful sores, Bleeding sores"
" ""I got these weird blisters in my mouth and throat, and they're really painful. They're not bleeding or anything, but they're really sore. I've been eating really spicy food lately, so I thought it might be from that, but I've been eating spicy food for years and I've never had this problem before. I'm really worried about it.""",Mouth/throat sores,"Cheilitis/cheilosis, Mouth/throat sores"
" ""I have been experiencing some mouth/throat sores these past few days, and they are quite severe.""",Mouth/throat sores,mouth/throat sores
" ""I've had these mouth/throat sores for a while now, but they seem to be getting worse.""",Mouth/throat sores,mouth/throat sores
" ""My mouth is a battlefield, with sores that are like tiny volcanoes, erupting with fiery pain.""",Mouth/throat sores,"Mouth/throat sores, Cheilosis/cheilitis"
" ""I have been having these little sores in my mouth and on my tongue for a few days now. They are somewhat painful and I can feel them when I eat or drink something.""",Mouth/throat sores,"Mouth/throat sores, Painful mouth sores"
" ""My mouth is a battlefield, with sores that burn and ache, as if a thousand fiery arrows are piercing my tongue and the roof of my mouth.""",Mouth/throat sores,"cheilitis, mouth/throat sores"
" ""I have these bloody sores all over my mouth and throat, and they are quite painful. They are not very big, but they are quite deep and they hurt when I eat or drink anything. I have had them for a few days now, and they are not going away. I think I might have caught a cold or something, but I am not sure. I have been trying to take care of myself and rest, but I am not feeling any better. I think I might need to see a doctor or something.""",Mouth/throat sores,"Mouth/throat sores, Pain with eating or drinking"
" ""A burning sensation in my mouth, a soreness in my throat, and a dryness in my mouth that makes it difficult to talk or eat.""",Mouth/throat sores,"cheilitis/cheilosis, dry mouth"
" ""I have been experiencing these bloody sores in my mouth and throat for quite some time now, and I must say it is quite annoying. They are somewhat painful, and I find it difficult to eat and talk at the same time.""",Mouth/throat sores,"Mouth/throat sores, Difficulty Swallowing"
" ""I've got these bloody sores in my mouth and throat, and it's been going on for ages. I'm so sick of it.""",Mouth/throat sores,"Mouth/throat sores, Hoarseness"
" ""I have been experiencing some mouth/throat sores for the past few days, and they are somewhat painful.""",Mouth/throat sores,mouth/throat sores
" ""I've got these blisters in me mouth and throat, and they're really sore, man. I can't even swallow properly, and it hurts like hell when I try to talk.""",Mouth/throat sores,"Cheilosis/cheilitis, Difficulty Swallowing"
