,Dialogue_Generated,Symptoms,Descriptions,Metas,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
69," ""I have been noticing that I have been bruising very easily lately. I also have been having trouble remembering things that I did just a few days ago. I have been very confused and disoriented. I have been having trouble with my memory and I have been very forgetful. I have been having trouble remembering appointments and meetings. I have been having trouble remembering phone numbers and names. I have been having trouble remembering where I put things. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching. I have been having trouble remembering what I was listening to. I have been having trouble remembering what I was doing. I have been having trouble remembering what I was saying. I have been having trouble remembering what I was reading. I have been having trouble remembering what I was watching","['Bruising', 'Memory']","['Presence/Absence', 'Interference (with daily activities)']","['Yes', 'Not at all']",Formal Register,Confused,5,False,False,True
70," ""I have been feeling very sensitive to sunlight lately. I wear sunglasses all the time, but I still get burned easily. I also have been having trouble reaching orgasm. It takes a lot longer than usual and I don't feel as satisfied after I do.""","['Sensitivity to sunlight', 'Delayed orgasm']","['Presence/Absence', 'Presence/Absence']","['Not applicable', 'Not applicable']",Neutral/Standard Register,Confused,3,True,False,False
71," ""I have been having trouble getting aroused lately. My voice has been changing too. I have a rash on my arms and chest.""","['Unable to have orgasm', 'Voice quality changes', 'Rash']","['Presence/Absence', 'Presence/Absence', 'Presence/Absence']","['Not applicable', 'Prefer not to answer', 'Not applicable']",Neutral/Standard Register,Neutral,2,False,False,True
72," ""I got these stretch marks all over my belly and back from being so fat and pregnant. I was in so much pain during labor and delivery. I was so scared I'd die. I was so scared I'd never see my baby again. I was so scared I'd never see my husband again. I was so scared I'd never see my family again. I was so scared I'd never see my friends again. I was so scared I'd never see my colleagues again. I was so scared I'd never see my neighbors again. I was so scared I'd never see my doctor again. I was so scared I'd never see my nurse again. I was so scared I'd never see my pharmacist again. I was so scared I'd never see my dentist again. I was so scared I'd never see my optician again. I was so scared I'd never see my veterinarian again. I was so scared I'd never see my hairdresser again. I was so scared I'd never see my barber again. I was so scared I'd never see my beautician again. I was so scared I'd never see my masseuse again. I was so scared I'd never see my acupuncturist again. I was so scared I'd never see my chiropractor again. I was so scared I'd never see my physiotherapist again. I was so scared I'd never see my psychiatrist again. I was so scared I'd never see my","['Abdominal pain', 'Stretch marks', 'Pain and swelling at injection site']","['Frequency', 'Presence/Absence', 'Presence/Absence']","['Rarely', 'Not applicable', 'Not applicable']",Vulgar Register,Fearful,5,True,False,True
73," ""I'm always tired and feel like I'm getting sick all the time. I've had really bad cramps during my periods for a while now, and I've been getting really light periods or no periods at all. I've also been getting really bad vaginal bleeding in between periods. I've also noticed that I don't sweat as much as I used to, and when I do sweat it's not as salty. I've also been having really painful urination, and I've noticed that my urine is really dark.""","['Irregular periods/vaginal bleeding', 'Decreased sweating', 'Painful urination']","['Presence/Absence', 'Presence/Absence', 'Severity']","['Not applicable', 'No', 'Moderate']",Vulgar Register,Angry,5,False,False,False
74," ""I been feelin like shite lately, mate. I been vomitin up me lunch and dinner every day for the past week or so. I cant even keep a glass of water down without pukin it back up. I been feelin so anxious all the time too. I cant sleep at night and I get all hot and sweaty when I try to relax. I been gettin these dizzy spells too. I be walkin down the street and suddenly I feel all woozy and I gotta grab onto somethin to stop myself from fallin over. And I been gettin this dry mouth too. I cant even talk proper like this. I be tryin to order a pint at the pub and I cant even get the words out right. I be sittin there lookin like a right plonker. I dont know what the hell is wrong with me, mate. I been to the doc and he just gave me some pills and told me to come back in a week. But I dont think them pills are workin, mate. I still feel like shite.""","['Vomiting', 'Anxious', 'Dizziness', 'Dry Mouth']","['Frequency', 'Frequency', 'Severity', 'Severity']","['Frequently', 'Prefer not to answer', 'Severe', 'Mild']",Vulgar Register,Confused,5,False,False,True
75," ""I can't remember the names of people I just met, and I keep forgetting where I put things. And I've been getting these weird discharges from my vagina. It's been really embarrassing. And my muscles are always aching, especially my neck and shoulders. I can't even lift my arms above my head without feeling this sharp pain. I'm so scared, doc. What's wrong with me?""","['Memory', 'Vaginal discharge', 'Muscle pain']","['Interference (with daily activities)', 'Amount', 'Interference (with daily activities)']","['A little bit', 'A little bit', 'Quite a bit']",Vulgar Register,Fearful,2,False,False,False
76," ""I'm so sick of this constant headache and painful peeing. I can't even take a proper dump without wincing in pain. And I'm so tired all the time. I'm not even sleeping well, but I'm still so exhausted. I'm so sick of feeling like this.""","['Painful urination', 'Headache']","['Severity', 'Interference (with daily activities)']","['Not applicable', 'Quite a bit']",Neutral/Standard Register,Insulting,3,False,False,False
77," ""I have been feeling extremely fatigued lately, as if I have no energy to do anything. I have also been vomiting quite frequently, which is very unusual for me.""","['Fatigue', 'Vomiting']","['Severity', 'Frequency']","['Moderate', 'Rarely']",Formal Register,Confused,5,False,True,False
78," ""I got bed sores on me bum and me back and me legs and me feet and me arms and me shoulders and me chest and me head and me neck and me face and me ears and me mouth and me nose and me eyes and me eyelids and me eyebrows and me forehead and me temples and me cheeks and me chin and me lips and me tongue and me throat and me Adam's apple and me larynx and me trachea and me lungs and me heart and me stomach and me small intestine and me large intestine and me bladder and me kidneys and me urethra and me ureters and me testicles and me penis and me nipples and me breasts and me uterus and me vagina and me clitoris and me labia and me anus and me buttocks and me thighs and me calves and me shins and me feet and me hands and me wrists and me forearms and me elbows and me biceps and me upper arms and me shoulders and me neck and me head and me face and me ears and me mouth and me nose and me eyes and me eyelids and me eyebrows and me forehead and me temples and me cheeks and me chin and me lips and me tongue and me throat and me Adam's apple and me larynx and me trachea and me lungs and me heart and me stomach and me small intestine and me large intestine and me bladder and me kidneys and me urethra and me ureters and me testicles and me penis and me nipples","['Bed/pressure sores', 'Increased sweating', 'Joint pain']","['Presence/Absence', 'Severity', 'Frequency']","['No', 'Prefer not to answer', 'Occasionally']",Vulgar Register,Confused,4,False,False,False
79," ""My eyes are filled with dark spots that follow me everywhere I go, and I am unable to maintain an erection, which makes me feel so helpless and scared.""","['Visual floaters', 'Achieve and maintain erection']","['Presence/Absence', 'Severity']","['Yes', 'Moderate']",Poetic/Literary Register,Fearful,2,False,True,False
80," ""I got radiation skin reaction everywhere, I can't even get a boner, and I'm so discouraged, I'm gonna die from this shit.""","['Radiation skin reaction', 'Unable to have orgasm', 'Discouraged']","['Severity', 'Presence/Absence', 'Severity']","['Prefer not to answer', 'Yes', 'Severe']",Vulgar Register,Insulting,2,False,True,True
81," ""I got these shots last week and now I'm having this burning sensation when I pee and I'm having to go so bad I'm peeing every hour. And I got these acne pills from the doctor and now I'm breaking out all over my face. And my arm where I got the shot is so swollen and painful I can't even sleep on it. And I've been feeling so cold I'm shivering all the time.""","['Urinary urgency', 'Acne', 'Pain and swelling at injection site', 'Chills']","['Frequency', 'Severity', 'Presence/Absence', 'Frequency']","['Frequently', 'Prefer not to answer', 'Not applicable', 'Occasionally']",Vulgar Register,Friendly,3,True,True,False
82," ""I've been having these mouth/throat sores for a while now, and they're really painful. I also have breast swelling and tenderness, and it's been going on for a few weeks now. I'm really worried about this.""","['Mouth/throat sores', 'Breast swelling and tenderness']","['Interference (with daily activities)', 'Severity']","['Somewhat', 'Moderate']",Neutral/Standard Register,Neutral,3,False,True,True
83," ""I'm pissing blood and my skin is as dry as a dead cock's comb. What the hell is wrong with me, you bloody quack?""","['Painful urination', 'Skin dryness']","['Severity', 'Severity']","['Severe', 'Very severe']",Vulgar Register,Insulting,2,False,False,False
84," ""I'm feelin like I'm goin blind, I got a dry mouth worse than the Sahara desert, I ain't got no interest in no sex, and I'm swellin up like a balloon.""","['Flashing lights', 'Dry Mouth', 'Decreased libido', 'Swelling (arms or legs)']","['Presence/Absence', 'Severity', 'Severity', 'Frequency']","['Yes', 'Very severe', 'None', 'Occasionally']",Vulgar Register,Insulting,1,False,False,True
85," ""I have been having abdominal pain for the past few days. It is a dull ache that is constant and does not seem to be getting any better. I also have a rash on my abdomen that is red and itchy. I have been having trouble achieving and maintaining an erection.""","['Abdominal pain', 'Rash', 'Achieve and maintain erection']","['Severity', 'Presence/Absence', 'Severity']","['Moderate', 'Not applicable', 'Moderate']",Neutral/Standard Register,Neutral,3,False,False,False
86," ""I've been having abdominal pain for a while now, and it's been getting worse. It's been almost constant, and it's been affecting my daily activities. I've also noticed that I have painful urination, and it's been getting worse too. I'm not sure what's causing these symptoms, but I'm worried that it might be something serious.""","['Abdominal pain', 'Painful urination']","['Frequency', 'Severity']","['Almost constantly', 'Not applicable']",Neutral/Standard Register,Friendly,2,False,False,False
87," ""I have nosebleeds all the time, and the shots I got hurt so bad. I have hives all over my body and it itches so bad. I am so angry and upset.""","['Nosebleed', 'Pain and swelling at injection site', 'Hives']","['Severity', 'Presence/Absence', 'Presence/Absence']","['Not applicable', 'No', 'Prefer not to answer']",Informal Register,Angry,2,True,True,True
88," ""I've got a bloody itch everywhere, and I can't stop scratching. I've got bed sores all over my bloody body, and I can barely breathe. I can't even get a bloody erection, let alone have sex.""","['Itching', 'Bed/pressure sores', 'Shortness of breath', 'Achieve and maintain erection']","['Severity', 'Presence/Absence', 'Severity', 'Severity']","['Very severe', 'Not applicable', 'Moderate', 'Prefer not to answer']",Vulgar Register,Insulting,5,False,False,False
89," ""I have been experiencing irregular periods/vaginal bleeding, headache, and bloating. The periods/vaginal bleeding is irregular and I have been experiencing severe headache and bloating.""","['Irregular periods/vaginal bleeding', 'Headache', 'Bloating']","['Presence/Absence', 'Severity', 'Severity']","['Not applicable', 'Severe', 'Prefer not to answer']",Formal Register,Confused,1,True,False,True
90," ""I have been experiencing a vaginal discharge for the past week. It is a white colour and has a slightly fishy smell. I also have numbness and tingling in my hands and feet, which is affecting my balance. I have been having hiccups for the past few days, which are not being triggered by eating or drinking.""","['Vaginal discharge', 'Numbness & tingling', 'Hiccups']","['Amount', 'Severity', 'Severity']","['A little bit', 'Prefer not to answer', 'Prefer not to answer']",Formal Register,Neutral,3,False,False,False
91," ""I have been having some nail ridging and hot flashes lately.""","['Nail ridging', 'Hot flashes', 'Joint pain']","['Presence/Absence', 'Frequency', 'Interference (with daily activities)']","['Yes', 'Never', 'A little bit']",Neutral/Standard Register,Neutral,1,False,False,True
92," ""I have been experiencing ringing in my ears for a while now, but lately it has become much worse. I also have a problem with my bladder, as I often have an urge to urinate, but I can't always make it to the bathroom in time. Additionally, I have developed a radiation skin reaction on my chest, which is quite painful. Furthermore, I have been experiencing cracking at the corners of my mouth, which is quite annoying.""","['Ringing in ears', 'Urinary incontinence', 'Radiation skin reaction', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Severity', 'Interference (with daily activities)', 'Severity', 'Severity']","['Moderate', 'Quite a bit', 'Very severe', 'Severe']",Formal Register,Confused,1,False,False,True
93," ""My periods are all over the place, I'm bleeding all the time, I'm so hungry but I can't eat, and I just can't get off like I used to.""","['Irregular periods/vaginal bleeding', 'Decreased appetite', 'Delayed orgasm']","['Presence/Absence', 'Severity', 'Presence/Absence']","['Yes', 'None', 'Yes']",Poetic/Literary Register,Angry,2,False,True,False
94," ""I've been feeling so anxious lately, I can't sleep at all. I was also supposed to have my period last week but it never came.""","['Missed expected menstrual period', 'Insomnia']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'Mild']",Poetic/Literary Register,Friendly,2,False,False,True
95," ""I have been experiencing chills and muscle pain for the past few days. The chills are not severe and only last for a short while, but the muscle pain is quite intense and lasts for a few hours. The pain is localized to my arms and legs, and it feels like I have been exercising for a long time. I have tried to ignore it, but it is getting harder and harder to do so.""","['Chills', 'Muscle pain']","['Frequency', 'Frequency']","['Never', 'Occasionally']",Formal Register,Friendly,4,False,False,False
96," ""My nails have turned a sickly shade of yellow, and I have not been able to climax for months now. I have also started sweating excessively, and I have had several nosebleeds.""","['Nail discoloration', 'Unable to have orgasm', 'Body odor', 'Nosebleed']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Frequency']","['No', 'No', 'Very severe', 'Prefer not to answer']",Poetic/Literary Register,Fearful,3,False,True,False
97," ""I am anxious all the time, my hair falls out in clumps, I feel dizzy when I stand up quickly, and I have hot flashes throughout the day. I am always worried that something bad will happen to me or my loved ones. I have trouble sleeping at night because of my racing thoughts. I feel like I am always on edge and I have no energy to do the things I used to enjoy. I feel like I am losing my mind and I am scared of what the future holds.""","['Anxious', 'Hair loss', 'Dizziness', 'Hot flashes']","['Interference (with daily activities)', 'Amount', 'Interference (with daily activities)', 'Severity']","['Very much', 'Not at all', 'Not at all', 'Mild']",Poetic/Literary Register,Friendly,5,True,True,False
98," ""My skin is marred with lines that seem to stretch across my body like a map, and my heart burns with a fire that never ceases to rage.""","['Stretch marks', 'Heartburn', 'Ringing in ears']","['Presence/Absence', 'Frequency', 'Severity']","['No', 'Never', 'None']",Poetic/Literary Register,Confused,2,False,False,False
99," ""I'm so worried about my hair falling out, I can't sleep at night.""","['Decreased libido', 'Hair loss', 'Ringing in ears']","['Severity', 'Amount', 'Severity']","['Very severe', 'Somewhat', 'Not applicable']",Informal Register,Fearful,1,False,False,False
