,Dialogue,True_Symptom,Extracted_Symptom
79," ""My eyes are filled with dark spots that follow me everywhere I go, and I am unable to maintain an erection, which makes me feel so helpless and scared.""","['Visual floaters', 'Achieve and maintain erection']","['Decreased libido', 'Achieve and maintain erection', 'Unable to have orgasm']"
80," ""I got radiation skin reaction everywhere, I can't even get a boner, and I'm so discouraged, I'm gonna die from this shit.""","['Radiation skin reaction', 'Unable to have orgasm', 'Discouraged']","['Decreased libido', 'Achieve and maintain erection', 'Delayed orgasm']"
81," ""I got these shots last week and now I'm having this burning sensation when I pee and I'm having to go so bad I'm peeing every hour. And I got these acne pills from the doctor and now I'm breaking out all over my face. And my arm where I got the shot is so swollen and painful I can't even sleep on it. And I've been feeling so cold I'm shivering all the time.""","['Urinary urgency', 'Acne', 'Pain and swelling at injection site', 'Chills']","['Acne', 'Burning sensation when urinating', 'Swelling at injection site']"
82," ""I've been having these mouth/throat sores for a while now, and they're really painful. I also have breast swelling and tenderness, and it's been going on for a few weeks now. I'm really worried about this.""","['Mouth/throat sores', 'Breast swelling and tenderness']","['Mouth/throat sores', 'Breast swelling and tenderness']"
83," ""I'm pissing blood and my skin is as dry as a dead cock's comb. What the hell is wrong with me, you bloody quack?""","['Painful urination', 'Skin dryness']","['Decreased appetite', 'Weight loss', 'Fatigue']"
84," ""I'm feelin like I'm goin blind, I got a dry mouth worse than the Sahara desert, I ain't got no interest in no sex, and I'm swellin up like a balloon.""","['Flashing lights', 'Dry Mouth', 'Decreased libido', 'Swelling (arms or legs)']","['Dry Mouth', 'Voice quality changes', 'Fatigue', 'Nausea', 'Constipation']"
85," ""I have been having abdominal pain for the past few days. It is a dull ache that is constant and does not seem to be getting any better. I also have a rash on my abdomen that is red and itchy. I have been having trouble achieving and maintaining an erection.""","['Abdominal pain', 'Rash', 'Achieve and maintain erection']","['Abdominal pain', 'Rash', 'Erectile dysfunction']"
86," ""I've been having abdominal pain for a while now, and it's been getting worse. It's been almost constant, and it's been affecting my daily activities. I've also noticed that I have painful urination, and it's been getting worse too. I'm not sure what's causing these symptoms, but I'm worried that it might be something serious.""","['Abdominal pain', 'Painful urination']","['Abdominal pain', 'Painful urination']"
87," ""I have nosebleeds all the time, and the shots I got hurt so bad. I have hives all over my body and it itches so bad. I am so angry and upset.""","['Nosebleed', 'Pain and swelling at injection site', 'Hives']","['Nosebleed', 'Hives']"
88," ""I've got a bloody itch everywhere, and I can't stop scratching. I've got bed sores all over my bloody body, and I can barely breathe. I can't even get a bloody erection, let alone have sex.""","['Itching', 'Bed/pressure sores', 'Shortness of breath', 'Achieve and maintain erection']","['Bed/pressure sores', 'Itching', 'Shortness of breath']"
89," ""I have been experiencing irregular periods/vaginal bleeding, headache, and bloating. The periods/vaginal bleeding is irregular and I have been experiencing severe headache and bloating.""","['Irregular periods/vaginal bleeding', 'Headache', 'Bloating']","['Abdominal pain', 'Bloating', 'Decreased appetite']"
90," ""I have been experiencing a vaginal discharge for the past week. It is a white colour and has a slightly fishy smell. I also have numbness and tingling in my hands and feet, which is affecting my balance. I have been having hiccups for the past few days, which are not being triggered by eating or drinking.""","['Vaginal discharge', 'Numbness & tingling', 'Hiccups']","['Vaginal discharge', 'Numbness & tingling', 'Hiccups']"
91," ""I have been having some nail ridging and hot flashes lately.""","['Nail ridging', 'Hot flashes', 'Joint pain']",['Nail ridging']
92," ""I have been experiencing ringing in my ears for a while now, but lately it has become much worse. I also have a problem with my bladder, as I often have an urge to urinate, but I can't always make it to the bathroom in time. Additionally, I have developed a radiation skin reaction on my chest, which is quite painful. Furthermore, I have been experiencing cracking at the corners of my mouth, which is quite annoying.""","['Ringing in ears', 'Urinary incontinence', 'Radiation skin reaction', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Ringing in ears']"
93," ""My periods are all over the place, I'm bleeding all the time, I'm so hungry but I can't eat, and I just can't get off like I used to.""","['Irregular periods/vaginal bleeding', 'Decreased appetite', 'Delayed orgasm']","['Decreased appetite', 'Nausea', 'Vomiting']"
94," ""I've been feeling so anxious lately, I can't sleep at all. I was also supposed to have my period last week but it never came.""","['Missed expected menstrual period', 'Insomnia']","['Decreased appetite', 'Weight loss', 'Fatigue']"
95," ""I have been experiencing chills and muscle pain for the past few days. The chills are not severe and only last for a short while, but the muscle pain is quite intense and lasts for a few hours. The pain is localized to my arms and legs, and it feels like I have been exercising for a long time. I have tried to ignore it, but it is getting harder and harder to do so.""","['Chills', 'Muscle pain']","['Mouth/throat sores', 'Dry Mouth', 'Hoarseness']"
96," ""My nails have turned a sickly shade of yellow, and I have not been able to climax for months now. I have also started sweating excessively, and I have had several nosebleeds.""","['Nail discoloration', 'Unable to have orgasm', 'Body odor', 'Nosebleed']","['Nail discoloration', 'Nosebleed']"
97," ""I am anxious all the time, my hair falls out in clumps, I feel dizzy when I stand up quickly, and I have hot flashes throughout the day. I am always worried that something bad will happen to me or my loved ones. I have trouble sleeping at night because of my racing thoughts. I feel like I am always on edge and I have no energy to do the things I used to enjoy. I feel like I am losing my mind and I am scared of what the future holds.""","['Anxious', 'Hair loss', 'Dizziness', 'Hot flashes']","['Hair loss', 'Anxious', 'Sad', 'Discouraged']"
98," ""My skin is marred with lines that seem to stretch across my body like a map, and my heart burns with a fire that never ceases to rage.""","['Stretch marks', 'Heartburn', 'Ringing in ears']","['Heartburn', 'Nausea', 'Vomiting', 'Abdominal pain', 'Bloating']"
99," ""I'm so worried about my hair falling out, I can't sleep at night.""","['Decreased libido', 'Hair loss', 'Ringing in ears']",['Hair loss']
