Dialogue_Generated,Symptoms,Descriptions,Meta,Language_Style,Tone,Detail_Level,Enumeration,Explicit_Symptom,Spelling_Errors
" ""I have bed pressure sores and my skin is very dry.""","['Bed/pressure sores', 'Skin dryness']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'Moderate']",Neutral/Standard Register,Confused,1,False,False,True
" ""My eyes are weeping with a gentle flow, as if the morning dew is falling upon my eyelids. I am feeling quite fatigued, as if my limbs are weighed down by leaden weights.""","['Watery eyes', 'Fatigue', 'Change in usual urine color', 'Hoarseness']","['Severity', 'Interference (with daily activities)', 'Presence/Absence', 'Severity']","['Moderate', 'A little bit', 'Yes', 'Not applicable']",Poetic/Literary Register,Friendly,1,False,False,False
" ""I'm puking my guts out and my nails are turning yellow.""","['Nausea', 'Nail discoloration']","['Severity', 'Presence/Absence']","['Very severe', 'Yes']",Vulgar Register,Fearful,1,False,False,False
" ""I've been having really bad cramps and bleeding for the past few days, but I'm not really sure when my last period was. I've also been having some pain when I pee and I feel like I really have to go all the time, even when my bladder isn't that full. I've also been feeling really nauseous and I've been throwing up a little bit.""","['Irregular periods/vaginal bleeding', 'Painful urination', 'Urinary urgency', 'Nausea']","['Presence/Absence', 'Severity', 'Interference (with daily activities)', 'Frequency']","['No', 'Moderate', 'Very much', 'Rarely']",Neutral/Standard Register,Confused,4,False,False,False
" ""I been having really bad cramps and I been bleeding really bad too. I been feeling really sad too. I been feeling really confused too. I been feeling really tired too. I been feeling really dizzy too. I been feeling really nauseous too. I been feeling really sick too. I been feeling really weak too. I been feeling really helpless too. I been feeling really hopeless too. I been feeling really worthless too. I been feeling really guilty too. I been feeling really ashamed too. I been feeling really embarrassed too. I been feeling really frustrated too. I been feeling really irritated too. I been feeling really annoyed too. I been feeling really resentful too. I been feeling really bitter too. I been feeling really angry too. I been feeling really upset too. I been feeling really hurt too. I been feeling really disappointed too. I been feeling really shocked too. I been feeling really surprised too. I been feeling really confused too. I been feeling really scared too. I been feeling really anxious too. I been feeling really worried too. I been feeling really concerned too. I been feeling really uneasy too. I been feeling really restless too. I been feeling really agitated too. I been feeling really irritated too. I been feeling really frustrated too. I been feeling really anxious too. I been feeling really worried too. I been feeling really concerned too. I been feeling really uneasy too. I been feeling really restless too. I been feeling really agitated too.","['Irregular periods/vaginal bleeding', 'Sad']","['Presence/Absence', 'Frequency']","['Not applicable', 'Prefer not to answer']",Neutral/Standard Register,Confused,5,False,False,True
" ""Nausea, Vomiting, Loss of Appetite, Bloating, Abdominal Pain, Constipation, Diarrhea, Light Headedness, Dizziness, Headaches, Joint Pain, Muscle Pain, Joint Stiffness, Fatigue, Insomnia, Anxiety, Depression, Memory Loss, Concentration Problems, Sensitivity to Light, Sunburn, Dry Skin, Itchy Skin, Red Eyes, Blurred Vision, Ear Infections, Ear Pain, Hearing Loss, Tinnitus, Cough, Shortness of Breath, Chest Pain, Palpitations, Fast Heartbeat, Cold Hands and Feet, Sweating, Excessive Hair Loss, Hair Thinness, Hair Breakage, Hair Falling Out, Hair Loss, Hair Turning Gray, Hair Turning White, Hair Turning Red, Hair Turning Blonde, Hair Turning Brown, Hair Turning Black, Hair Growing Slowly, Hair Growing Thicker, Hair Growing Longer, Hair Growing Shorter, Hair Growing Faster, Hair Growing Slower, Hair Falling Out Faster, Hair Falling Out Slower, Hair Falling Out More, Hair Falling Out Less, Hair Loss Faster, Hair Loss Slower, Hair Loss More, Hair Loss Less, Hair Turning Gray Faster, Hair Turning Gray Slower, Hair Turning Gray More, Hair Turning Gray Less, Hair Turning White Faster, Hair Turning White Slower, Hair Turning White More, Hair Turning White Less, Hair Turning Red Faster, Hair Turning Red Slower, Hair Turning Red More, Hair Turning","['Nausea', 'Sensitivity to sunlight', 'Hiccups']","['Severity', 'Presence/Absence', 'Frequency']","['None', 'No', 'Prefer not to answer']",Neutral/Standard Register,Fearful,2,True,False,False
" ""I'm so sick of vomiting every morning. It's like my stomach is trying to get rid of everything I eat. And I'm so tired all the time. I can barely get out of bed in the morning. I'm so sick of feeling like this.""","['Vomiting', 'Fatigue']","['Frequency', 'Severity']","['Never', 'Not applicable']",Neutral/Standard Register,Insulting,5,False,False,False
" ""I got a dry mouth that won't go away, I puked up my guts last night, I'm losin' my hair by the handfuls, and I got these bed sores that won't heal. I'm so sick of this shit, I'm ready to die already.""","['Dry Mouth', 'Vomiting', 'Hair loss', 'Bed/pressure sores']","['Severity', 'Severity', 'Amount', 'Presence/Absence']","['Very severe', 'None', 'Very much', 'Yes']",Vulgar Register,Angry,3,False,False,True
" ""I got a real bad cough and it's been makin me sound like a frog all day, and when I stand up I feel like I'm gonna fall down, and my head is all spinny and stuff.""","['Hoarseness', 'Dizziness']","['Severity', 'Severity']","['Mild', 'Moderate']",Vulgar Register,Confused,4,False,False,True
" ""I'm pissing blood and my cock is swollen like a balloon, you fat fuck.""","['Painful urination', 'Pain and swelling at injection site']","['Severity', 'Presence/Absence']","['Very severe', 'Prefer not to answer']",Vulgar Register,Insulting,3,False,False,True
" ""I cant focus on nothin, I cant even swallow proper, I aint sweatin like I should be, and I got numbness in my hands and feet. I cant do nothin, I cant even think straight, I feel like im goin crazy.""","['Concentration', 'Difficulty Swallowing', 'Decreased sweating', 'Numbness & tingling']","['Interference (with daily activities)', 'Severity', 'Presence/Absence', 'Interference (with daily activities)']","['Somewhat', 'Severe', 'No', 'Very much']",Vulgar Register,Angry,5,False,False,True
" ""I have stretch marks on my belly and thighs, and I bruise easily. My breasts are swollen and tender. I have joint pain and stiffness, especially in my hands and knees. I have lost my appetite and I feel full quickly. I have gained weight, especially around my belly. I have dark circles under my eyes. I have hair loss on my head and face. I have dry, itchy skin. I have a metallic taste in my mouth. I have gum inflammation and bleeding. I have mouth ulcers. I have constipation. I have dark urine and yellowing of the skin and eyes.""","['Stretch marks', 'Bruising', 'Radiation skin reaction', 'Breast swelling and tenderness']","['Presence/Absence', 'Presence/Absence', 'Severity', 'Severity']","['Yes', 'Not sexually active', 'Not sexually active', 'Severe']",Informal Register,Neutral,2,True,False,True
" ""I have been experiencing general pain all over my body, and I have noticed that I have not been in the mood for sex lately. I also see flashing lights from time to time, and I have a headache.""","['General pain', 'Decreased libido', 'Flashing lights', 'Headache']","['Frequency', 'Severity', 'Presence/Absence', 'Severity']","['Frequently', 'Not sexually active', 'Not sexually active', 'Not sexually active']",Formal Register,Fearful,1,False,False,True
" ""Food gets stuck in my throat and I have to swallow several times to get it down. Sometimes I choke and cough. My mouth is always dry and I have to keep drinking water to keep it moist.""","['Difficulty Swallowing', 'Dry Mouth']","['Severity', 'Severity']","['Not applicable', 'Moderate']",Informal Register,Confused,4,True,True,False
" ""I've been having acne on my face for a while now, but recently it's gotten worse. I also have trouble swallowing at times, and I've noticed that I sweat more than usual.""","['Acne', 'Difficulty Swallowing', 'Increased sweating']","['Severity', 'Severity', 'Severity']","['Moderate', 'Mild', 'Not applicable']",Neutral/Standard Register,Friendly,2,False,False,False
" ""I have this burning sensation when I pee and it's really uncomfortable. My voice sounds hoarse and I have this constant burping going on. And I've been having trouble getting an erection.""","['Urinary urgency', 'Voice quality changes', 'Gas', 'Ejaculation']","['Interference (with daily activities)', 'Presence/Absence', 'Presence/Absence', 'Frequency']","['A little bit', 'Prefer not to answer', 'Not applicable', 'Prefer not to answer']",Neutral/Standard Register,Angry,2,False,False,False
" ""My skin is as dry as the desert sand and I feel as if I'm burning from the inside out.""","['Decreased sweating', 'Flashing lights', 'Mouth/throat sores']","['Presence/Absence', 'Presence/Absence', 'Severity']","['Not applicable', 'Yes', 'Very severe']",Poetic/Literary Register,Neutral,3,False,False,True
" ""My urine is now a dark yellow color, and I feel so fatigued all the time. Even having sex is so painful now, and I can't sleep at all. I'm so scared, I don't know what's happening to me.""","['Change in usual urine color', 'Fatigue', 'Pain with sexual intercourse', 'Insomnia']","['Presence/Absence', 'Interference (with daily activities)', 'Severity', 'Interference (with daily activities)']","['Yes', 'Very much', 'Very severe', 'Very much']",Poetic/Literary Register,Fearful,2,False,True,True
" ""My mind is all foggy and my thoughts are all jumbled up, like a bunch of words that I can't quite put together, and my head is pounding like a drum.""","['Discouraged', 'Radiation skin reaction', 'Headache']","['Interference (with daily activities)', 'Severity', 'Interference (with daily activities)']","['A little bit', 'Moderate', 'A little bit']",Poetic/Literary Register,Confused,1,False,False,True
" ""I have been experiencing decreased sweating and gas lately.""","['Decreased sweating', 'Gas']","['Presence/Absence', 'Presence/Absence']","['Prefer not to answer', 'Yes']",Formal Register,Neutral,1,False,False,True
" ""I've been feeling quite a bit of a vaginal discharge, which is somewhat interfering with my daily activities. It's been there for quite a bit, and I've been quite a bit concerned about it. I've been trying to deal with it on my own, but it's been somewhat difficult. I've been quite a bit frustrated with it, and I've been somewhat angry about it. I've been somewhat depressed about it, and I've been somewhat anxious about it. I've been somewhat worried about it, and I've been somewhat scared about it. I've been somewhat confused about it, and I've been somewhat embarrassed about it. I've been somewhat ashamed about it, and I've been somewhat guilty about it. I've been somewhat defensive about it, and I've been somewhat aggressive about it. I've been somewhat competitive about it, and I've been somewhat manipulative about it. I've been somewhat passive-aggressive about it, and I've been somewhat sadistic about it. I've been somewhat masochistic about it, and I've been somewhat psychotic about it. I've been somewhat sociopathic about it, and I've been somewhat narcissistic about it. I've been somewhat egotistical about it, and I've been somewhat selfish about it. I've been somewhat inconsiderate about it, and I've been somewhat rude about it. I've been somewhat impolite about it, and I've been somewhat uncooperative about it.","['Vaginal discharge', 'Memory', 'Muscle pain', 'Decreased sweating']","['Amount', 'Severity', 'Interference (with daily activities)', 'Presence/Absence']","['Quite a bit', 'Not applicable', 'Somewhat', 'No']",Poetic/Literary Register,Insulting,5,False,False,True
" ""I've been vomiting and farting like crazy for the past few days. I don't know what's wrong with me.""","['Vomiting', 'Gas']","['Frequency', 'Presence/Absence']","['Prefer not to answer', 'Prefer not to answer']",Neutral/Standard Register,Insulting,3,False,False,False
" ""I've been having nosebleeds for the past few days. It's been really scary. I've been feeling really sad and down lately. I also noticed that I've been sweating a lot and my body odor has been really bad. I went to the doctor and got a shot, but the area where I was injected is really painful and swollen.""","['Nosebleed', 'Sad', 'Body odor', 'Pain and swelling at injection site']","['Severity', 'Interference (with daily activities)', 'Severity', 'Presence/Absence']","['Severe', 'Quite a bit', 'Mild', 'No']",Informal Register,Neutral,4,False,False,False
" ""My skin is so dry it feels like sandpaper. I'm always bloated and my belly sticks out like a pregnant woman. I'm always hot and sweaty and I can smell myself from a mile away. I'm so sick of this shit.""","['Skin dryness', 'Bloating', 'Hot flashes', 'Body odor']","['Severity', 'Severity', 'Frequency', 'Severity']","['Very severe', 'Severe', 'Prefer not to answer', 'None']",Vulgar Register,Angry,3,True,False,True
" ""My mouth is a battlefield, with sores that bleed and burn, and flashing lights that pierce my eyes.""","['Mouth/throat sores', 'Flashing lights']","['Interference (with daily activities)', 'Presence/Absence']","['Not at all', 'Prefer not to answer']",Poetic/Literary Register,Neutral,1,False,False,False
" ""I have been having this pain for a while now, and it's getting worse. It's like a burning sensation that starts when I start having sex and lasts for a while after I finish. It's so painful that I try to avoid having sex, but my boyfriend is getting frustrated with me. I also have this general feeling of pain all the time, like I'm always sore. It's really annoying. And I have this really bad gas problem. I feel like I always have to fart, and it's really embarrassing. I try to hold it in, but it feels like it's going to explode out of me. I don't know what's wrong with me.""","['Pain with sexual intercourse', 'General pain', 'Gas']","['Severity', 'Severity', 'Presence/Absence']","['Mild', 'Not applicable', 'Yes']",Informal Register,Angry,5,False,False,False
" ""My mind is a fog, and my thoughts are as slippery as a fish in the sea. I try to grasp them, but they slip through my fingers like sand between my toes. My voice is hoarse, as if I have been screaming for days on end. My abdomen is a cauldron of fire, and my urine is the color of rust.""","['Abdominal pain', 'Voice quality changes', 'Memory', 'Change in usual urine color']","['Interference (with daily activities)', 'Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence']","['Quite a bit', 'Not sexually active', 'Quite a bit', 'Not sexually active']",Poetic/Literary Register,Confused,2,False,True,False
" ""My hands and feet are on fire, and I gotta pee all the time.""","['Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Urinary urgency']","['Severity', 'Frequency']","['Severe', 'Never']",Poetic/Literary Register,Friendly,1,False,False,True
" ""I got a fukin headache and my hair is fallin out like crazy. I cant even sleep at night cuz I gotta pee so bad. And dont even get me started on my vag, its drier than the sahara desert. I cant even have sex with my boyfriend no more. This is fukin bullsh*t.""","['Hair loss', 'Headache', 'Urinary urgency', 'Vaginal dryness']","['Amount', 'Frequency', 'Interference (with daily activities)', 'Severity']","['Not at all', 'Prefer not to answer', 'A little bit', 'None']",Vulgar Register,Angry,2,False,False,True
" ""I have been having a problem with my vagina. There is a white discharge that I see when I wipe. It is not very smelly but it is there. I also have been very sensitive to sunlight lately.""","['Sensitivity to sunlight', 'Vaginal discharge']","['Presence/Absence', 'Amount']","['Yes', 'Quite a bit']",Neutral/Standard Register,Fearful,1,False,False,False
" ""I have been having delayed orgasm for a while now. I can't remember the last time I had an orgasm. I have been feeling very confused and frustrated. I have also noticed that my skin has been getting darker. I have been feeling very depressed and anxious. I have been having trouble sleeping. I have also been having trouble concentrating. I have been having trouble remembering things. I have also been having trouble making decisions. I have been having trouble with my memory. I have also been having trouble with my skin. I have been having trouble with my mood. I have also been having trouble with my motivation. I have been having trouble with my energy levels. I have also been having trouble with my appetite. I have been having trouble with my weight. I have also been having trouble with my self-esteem. I have been having trouble with my confidence. I have also been having trouble with my relationships. I have been having trouble with my sex drive. I have also been having trouble with my desire to have sex. I have been having trouble with my ability to have an orgasm. I have also been having trouble with my ability to get an erection. I have been having trouble with my ability to have sexual intercourse. I have also been having trouble with my ability to have a romantic relationship. I have been having trouble with my ability to have a sexual relationship. I have also been having trouble with my ability to have a social relationship. I have been having trouble with my ability to have","['Delayed orgasm', 'Memory', 'Skin darkening', 'Decreased libido']","['Presence/Absence', 'Interference (with daily activities)', 'Presence/Absence', 'Severity']","['No', 'Not at all', 'Yes', 'Not applicable']",Neutral/Standard Register,Confused,5,False,True,True
" ""I've been gettin' these bruises all over me body, and me skin's been gettin' so dry it's like a flamin' desert out there, ya know?""","['Bruising', 'Skin dryness']","['Presence/Absence', 'Severity']","['Not sexually active', 'Not applicable']",Vulgar Register,Friendly,5,False,False,False
" ""I have been experiencing cracking at the corners of my mouth for a while now, and I am worried that I will not be able to achieve and maintain an erection.""","['Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Achieve and maintain erection']","['Severity', 'Severity']","['Not sexually active', 'Very severe']",Formal Register,Fearful,1,False,False,True
" ""I cant stop weein and its hard to breathe""","['Urinary incontinence', 'Wheezing']","['Frequency', 'Severity']","['Not sexually active', 'Not applicable']",Informal Register,Confused,1,False,False,True
" ""I have been experiencing chills for the past few days. I have also noticed that my skin has become darker. I have a headache and I find it difficult to concentrate.""","['Chills', 'Skin darkening', 'Headache', 'Concentration']","['Severity', 'Presence/Absence', 'Interference (with daily activities)', 'Interference (with daily activities)']","['Not sexually active', 'No', 'Quite a bit', 'Somewhat']",Formal Register,Fearful,4,False,False,False
" ""I have been experiencing constipation and diarrhea for the past few days.""","['Constipation', 'Diarrhea']","['Severity', 'Frequency']","['Not applicable', 'Almost constantly']",Formal Register,Friendly,1,False,False,True
" ""I have had hives for a while now, but recently they have become more frequent and severe. I also have heartburn that wakes me up at night and decreased appetite.""","['Hives', 'Decreased appetite', 'Heartburn']","['Presence/Absence', 'Interference (with daily activities)', 'Severity']","['Not sexually active', 'Not at all', 'Very severe']",Neutral/Standard Register,Neutral,3,True,False,True
" ""My skin is bruised and tender to the touch, and I have difficulty swallowing, which makes me anxious.""","['Anxious', 'Bruising', 'Difficulty Swallowing']","['Severity', 'Presence/Absence', 'Severity']","['None', 'Yes', 'Prefer not to answer']",Poetic/Literary Register,Insulting,1,True,False,False
" ""I'm getting these weird sounds from my throat and I keep hiccuping. It's so annoying. I'm so sick of this already.""","['Voice quality changes', 'Hiccups']","['Presence/Absence', 'Severity']","['Yes', 'Very severe']",Neutral/Standard Register,Insulting,2,False,True,True
" ""Hair Loss, Excessive Hair Fall, Thinning Hair, Bald Spots, Itchy Scalp, Dandruff, Dry Skin, Dry Mouth, Dry Eyes, Dry Nose, Dry Vagina, Dry Skin on Feet, Dry Skin on Elbows, Dry Skin on Knees, Dry Skin on Heels, Dry Skin on Toes, Dry Skin on Palms, Dry Skin on Soles, Dry Skin on Back, Dry Skin on Chest, Dry Skin on Stomach, Dry Skin on Arms, Dry Skin on Legs, Dry Skin on Face, Dry Skin on Neck, Dry Skin on Hands, Dry Skin on Feet, Dry Skin on Elbows, Dry Skin on Knees, Dry Skin on Heels, Dry Skin on Toes, Dry Skin on Palms, Dry Skin on Soles, Dry Skin on Back, Dry Skin on Chest, Dry Skin on Stomach, Dry Skin on Arms, Dry Skin on Legs, Dry Skin on Face, Dry Skin on Neck, Dry Skin on Hands, Dry Skin on Feet, Dry Skin on Elbows, Dry Skin on Knees, Dry Skin on Heels, Dry Skin on Toes, Dry Skin on Palms, Dry Skin on Soles, Dry Skin on Back, Dry Skin on Chest, Dry Skin on Stomach, Dry Skin on Arms, Dry Skin on Legs, Dry Skin on Face, Dry Skin on Neck, Dry Skin on Hands, Dry Skin on Feet, Dry Skin on El","['Hair loss', 'Urinary urgency', 'Irregular periods/vaginal bleeding']","['Amount', 'Interference (with daily activities)', 'Presence/Absence']","['Quite a bit', 'Not at all', 'Not sexually active']",Poetic/Literary Register,Confused,1,True,False,False
" ""I'm so sick of peeing myself all the time, it's like I'm a bloody baby again. And don't even get me started on the bruises, I look like I got into a bloody fight with a rugby team.""","['Urinary incontinence', 'Bruising']","['Interference (with daily activities)', 'Presence/Absence']","['Not at all', 'Not applicable']",Vulgar Register,Insulting,5,False,False,False
" ""I'm always tired and feel like I've got a fever even when I don't. I've also got this weird discharge from my vagina and I'm having trouble breathing.""","['Fatigue', 'Vaginal discharge', 'Chills', 'Shortness of breath']","['Severity', 'Amount', 'Frequency', 'Interference (with daily activities)']","['Severe', 'Somewhat', 'Frequently', 'Quite a bit']",Vulgar Register,Neutral,2,False,True,False
" ""I have noticed that my urine color has changed to a darker yellow than usual. I also feel very fatigued and have ringing in my ears.""","['Ringing in ears', 'Change in usual urine color', 'Fatigue']","['Severity', 'Presence/Absence', 'Interference (with daily activities)']","['Not sexually active', 'Yes', 'Very much']",Formal Register,Friendly,2,True,False,False
" ""I've been noticing that my urine color has been changing a bit. It's not always the same color, but it's usually darker than usual. I've also been losing a lot of hair lately. I mean, I lose some hair every day, but it's been a lot more than usual. I've also been breaking out in hives all over my body. I'm not sure what's causing it, but it's been really uncomfortable.""","['Change in usual urine color', 'Hair loss', 'Hives']","['Presence/Absence', 'Amount', 'Presence/Absence']","['Prefer not to answer', 'Very much', 'Not applicable']",Neutral/Standard Register,Confused,5,False,False,False
" ""I got this weird ringing in my ears, and I can't even get a boner, and I'm always dizzy. What the hell is wrong with me? I'm so sick of this shit.""","['Ringing in ears', 'Achieve and maintain erection', 'Dizziness']","['Severity', 'Severity', 'Interference (with daily activities)']","['None', 'Moderate', 'Not at all']",Informal Register,Insulting,5,False,False,True
" ""I have noticed that my nails have been turning yellow and I have been unable to have an orgasm for a while now. I am worried that there is something wrong with me.""","['Nail discoloration', 'Unable to have orgasm']","['Presence/Absence', 'Presence/Absence']","['Not sexually active', 'Prefer not to answer']",Neutral/Standard Register,Fearful,4,False,True,True
" ""I have been experiencing a ringing in my ears, and my hands and feet are all red and itchy. It's so annoying, and I just want it to go away.""","['Ringing in ears', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)']","['Severity', 'Severity']","['Prefer not to answer', 'None']",Poetic/Literary Register,Friendly,3,True,False,True
" ""I have stretch marks all over my body, especially on my stomach, breasts, and thighs. My skin is very sensitive and it hurts when I touch it. I have general pain all over my body, especially in my joints and muscles. It's like I have the flu all the time. I have muscle pain in my back, shoulders, and legs. It's like I've been exercising for hours and I'm exhausted. I'm very weak and I get tired very easily. I can't do any physical activity without getting extremely tired. I can't even walk for a long time without needing to rest.""","['Stretch marks', 'General pain', 'Muscle pain']","['Presence/Absence', 'Interference (with daily activities)', 'Frequency']","['Not sexually active', 'Very much', 'Frequently']",Neutral/Standard Register,Insulting,5,True,False,False
" ""My skin is all wrinkled and saggy, like a deflated balloon, and I have these weird lines all over my body, like a map of some forgotten land. I can't even have an orgasm anymore, it's like my body has forgotten how to feel pleasure. And I wet myself all the time, it's so embarrassing. I feel like I'm losing control of my own body. I'm so confused, I don't know what's happening to me.""","['Stretch marks', 'Unable to have orgasm', 'Urinary incontinence']","['Presence/Absence', 'Presence/Absence', 'Interference (with daily activities)']","['Prefer not to answer', 'No', 'Quite a bit']",Poetic/Literary Register,Confused,5,False,False,True
" ""My head is aching so much that I feel like a ripe melon, and the sunlight is so harsh that it feels like a thousand knives are piercing through my skin.""","['Sensitivity to sunlight', 'Headache']","['Presence/Absence', 'Severity']","['Prefer not to answer', 'Very severe']",Poetic/Literary Register,Insulting,2,False,False,False
" ""I've been feeling really sick lately, I've been vomiting a lot and the injection site is really painful and swollen. I also have trouble concentrating and I've been noticing that the corners of my mouth are cracking a lot.""","['Vomiting', 'Pain and swelling at injection site', 'Concentration', 'Cracking at the corners of the mouth (cheilosis/cheilitis)']","['Severity', 'Presence/Absence', 'Interference (with daily activities)', 'Severity']","['Very severe', 'Prefer not to answer', 'Very much', 'None']",Informal Register,Friendly,1,False,True,True
" ""I've been having a lot of heart palpitations and I sweat a lot too.""","['Increased sweating', 'Heart palpitations']","['Frequency', 'Frequency']","['Not sexually active', 'Not sexually active']",Neutral/Standard Register,Friendly,1,False,False,True
" ""My mind is a fog, and I cannot remember what I had for breakfast, or even what day it is. My heart is racing, and I feel like I am going to pass out. I am so angry all the time, and I have no idea why. I feel like I am losing my mind.""","['Missed expected menstrual period', 'Memory', 'Heart palpitations', 'Delayed orgasm']","['Presence/Absence', 'Interference (with daily activities)', 'Frequency', 'Presence/Absence']","['Prefer not to answer', 'Not at all', 'Rarely', 'Not applicable']",Poetic/Literary Register,Angry,4,False,False,False
" ""My cock is sore and my balls are swollen. I have a burning sensation when I pee. My eyes are blurry and I see double. I feel dizzy and my head is spinning.""","['Ejaculation', 'Blurred vision']","['Frequency', 'Severity']","['Almost constantly', 'Not applicable']",Vulgar Register,Confused,5,True,False,False
" ""I'm so sick of feeling like I'm gonna puke all the time. I mean, I know I'm not gonna puke, but I still feel like I'm gonna puke. And I'm so tired all the time. I mean, I know I'm not gonna die from being tired, but I still feel like I'm gonna die from being tired. And I'm so itchy all the time. I mean, I know I'm not gonna die from being itchy, but I still feel like I'm gonna die from being itchy. And I'm so hot all the time. I mean, I know I'm not gonna die from being hot, but I still feel like I'm gonna die from being hot. And I'm so cold all the time. I mean, I know I'm not gonna die from being cold, but I still feel like I'm gonna die from being cold. And I'm so hungry all the time. I mean, I know I'm not gonna die from being hungry, but I still feel like I'm gonna die from being hungry. And I'm so full all the time. I mean, I know I'm not gonna die from being full, but I still feel like I'm gonna die from being full. And I'm so thirsty all the time. I mean, I know I'm not gonna die from being thirsty, but I still feel like I'm gonna die from being thirsty. And I'm so tired","['Decreased appetite', 'Hot flashes', 'Visual floaters', 'Itching']","['Interference (with daily activities)', 'Frequency', 'Presence/Absence', 'Severity']","['Very much', 'Prefer not to answer', 'Not applicable', 'Not applicable']",Neutral/Standard Register,Angry,4,False,False,True
" ""I have been having difficulty swallowing for the past few days. It started with a slight tickle in the back of my throat, but now it feels like there is a lump stuck in my throat. I also have been coughing a lot, and it feels like I am going to choke on my own saliva.""","['Difficulty Swallowing', 'Coughing']","['Severity', 'Severity']","['None', 'Very severe']",Formal Register,Fearful,3,False,False,False
" ""My breasts are so swollen and tender that I can't even sleep on them. I have these red rashes on my hands and feet that are so itchy and sore. I also have these cracks at the corners of my mouth that are so painful. My eyes are always so watery that I have to constantly rub them.""","['Breast swelling and tenderness', 'Hand-foot syndrome (a rash of the hands and feet that can cause cracking, peeling, redness or pain)', 'Cracking at the corners of the mouth (cheilosis/cheilitis)', 'Watery eyes']","['Severity', 'Severity', 'Severity', 'Severity']","['Not applicable', 'Not sexually active', 'Not applicable', 'Not applicable']",Poetic/Literary Register,Confused,3,False,False,True
" ""I got a bloody nose this morning and it's been dripping all day, and I got the chills too, and my head is killing me, and I'm so tired I can't even think straight.""","['Nosebleed', 'Chills', 'Headache', 'Fatigue']","['Frequency', 'Severity', 'Frequency', 'Severity']","['Not sexually active', 'Prefer not to answer', 'Occasionally', 'Prefer not to answer']",Vulgar Register,Confused,2,False,False,True
" ""I have been experiencing vaginal dryness, pain and swelling at the injection site, and decreased libido since I started taking the medication. I have tried to talk to my doctor about it, but she just tells me to keep taking the medication and that it will go away. I am very frustrated and I do not know what to do.""","['Vaginal dryness', 'Pain and swelling at injection site', 'Decreased libido']","['Severity', 'Presence/Absence', 'Severity']","['Prefer not to answer', 'Yes', 'Not sexually active']",Neutral/Standard Register,Neutral,5,False,True,True
" ""My breasts are as tender as a newborn's bottom, and my nipples are as sore as a scolding wife's tongue.""","['Pain and swelling at injection site', 'Hot flashes', 'Breast swelling and tenderness']","['Presence/Absence', 'Frequency', 'Severity']","['Not sexually active', 'Frequently', 'Prefer not to answer']",Poetic/Literary Register,Insulting,4,False,False,False
" ""I have abdominal pain, heart palpitations, coughing, and I am anxious. My abdominal pain is constant, severe, and localized in the lower right quadrant of my abdomen. It started 2 days ago and is getting worse. I have a cough that is dry and nonproductive. It started 1 day ago and is getting worse. I feel anxious all the time. It started 2 days ago and is getting worse.""","['Abdominal pain', 'Heart palpitations', 'Coughing', 'Anxious']","['Severity', 'Frequency', 'Interference (with daily activities)', 'Interference (with daily activities)']","['Not applicable', 'Frequently', 'A little bit', 'Very much']",Neutral/Standard Register,Angry,2,True,True,False
" ""I can't even see properly, my eyes are all blurry, and my arm where I got the shot is so swollen and hurts like hell, I can't even lift it. I've been vomiting all night and I'm so scared I'm gonna die.""","['Blurred vision', 'Pain and swelling at injection site', 'Vomiting']","['Interference (with daily activities)', 'Presence/Absence', 'Frequency']","['Not at all', 'Not applicable', 'Never']",Vulgar Register,Fearful,5,False,True,False
" ""I got this weird discharge from my vagina and it's all dry and stuff. And my pee is all yellow and smelly. And I got these pimples on my face and I don't know what's going on.""","['Vaginal dryness', 'Change in usual urine color', 'Acne']","['Severity', 'Presence/Absence', 'Severity']","['Not sexually active', 'Not sexually active', 'Not sexually active']",Vulgar Register,Confused,2,False,False,False
" ""My joints are aflame with pain, and my gut is a constant churn, and my desire for love is but a distant memory, a faint echo of what once was.""","['Joint pain', 'Diarrhea', 'Decreased libido']","['Interference (with daily activities)', 'Frequency', 'Severity']","['Very much', 'Frequently', 'Not applicable']",Poetic/Literary Register,Confused,1,False,False,True
" ""I have been experiencing abdominal pain for the past month, and it has been getting worse over time. The pain is usually in the lower right side of my abdomen, and it is accompanied by nausea and vomiting. I also have urinary incontinence, and I have been discouraged by these symptoms.""","['Abdominal pain', 'Urinary incontinence', 'Discouraged']","['Interference (with daily activities)', 'Frequency', 'Interference (with daily activities)']","['Quite a bit', 'Not sexually active', 'Somewhat']",Formal Register,Fearful,3,False,False,False
